gene,ADA,ADE,ADF,ADL,AFD,AIA,AIB,AIM,AIN,AIY,AIZ,ALA,ALM,ALN,AQR,AS,ASEL,ASER,ASG,ASH,ASI,ASJ,ASK,AUA,AVA,AVB,AVD,AVE,AVF,AVG,AVH,AVJ,AVK,AVL,AVM,AWA,AWB,AWC_OFF,AWC_ON,BAG,BDU,CAN,CEP,DA,DA9,DB,DB01,DVA,DVB,DVC,FLP,HSN,I1,I2,I3,I4,I5,I6,IL1,IL2_DV,IL2_LR,LUA,M1,M2,M3,M4,M5,MC,MI,NSM,OLL,OLQ,PDA,PDB,PDE,PHA,PHB,PHC,PLM,PLN,PQR,PVC,PVD,PVM,PVN,PVP,PVQ,PVR,PVT,PVW,RIA,RIB,RIC,RID,RIF,RIG,RIH,RIM,RIP,RIR,RIS,RIV,RMD_DV,RMD_LR,RME_DV,RME_LR,RMF,RMG,RMH,SAA,SAB,SDQ,SIA,SIB,SMB,SMD,URA,URB,URX,URY,VA,VA12,VB,VB01,VB02,VC,VC_4_5,VD_DD
avr-14,93.73,108.734,64.586,22.812,0,98.811,29.003,86.378,25.093,37.748,109.035,22.793,45.451,0,46.617,81.989,24.1,130.055,24.614,29.839,14.389,0,30.484,86.356,156.663,166.258,96.062,43.734,58.75,0,28.616,64.937,36.082,14.338,44.344,6.651,47.636,0,28.049,16.178,0,0,34.071,99.05,26.343,58.774,23.9,0,48.233,30.575,184.374,11.469,95.768,75.943,33.882,90.017,119.923,0,510.02,401.25,301.808,115.362,29.402,106.88,39.41,51.568,55.241,15.028,0,132.962,188.84,203.798,0,34.103,14.533,22.574,26.121,113.398,55.718,0,82.032,105.993,186.863,60.102,89.136,105.738,10.578,12.249,4.713,56.541,139.113,48.328,223.294,11.522,53.832,206.341,107.139,83.503,141.352,0,18.286,28.612,100.09,237.325,178.909,372.785,36.883,0,49.775,0,84.868,11.283,178.19,114.632,82.273,247.512,164.286,0,54.468,287.596,69.169,22.197,82.817,45.199,88.535,15.822,0,68.447
avr-15,117.988,0,0,0,228.485,108.588,0,17.272,0,0,0,0,0,0,0,38.944,0,0,0,0,0,0,56.698,0,0,0,0,0,0,0,0,0,0,308.246,0,0,0,0,0,67.199,0,43.921,0,0,0,0,0,99.906,0,0,0,287.21,470.935,0,0,0,0,0,115.311,0,0,0,0,337.415,0,49.427,0,0,0,59.332,0,88.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339.576,2632.914,0,0,0,0,0,0,0,0,629.236,0,0,0,1878.582,156.104,0,26.862,0,0,0,0,59.847,0,0,0,51.494,0,0,0,0,0,0,0,0,0,0,0
ben-1,105.039,388.301,0,0,0,0,76.845,89.763,64.156,0,213.891,354.621,176.821,0,52.093,490.33,0,0,33.721,0,20.888,0,0,0,324.377,262.906,1056.26,114.85,555.248,492.341,163.16,597.511,235.065,267.632,81.306,0,0,0,0,0,540.72,80.3,565.46,862.996,246.796,647.421,548.789,281.993,117.63,171.198,651.239,860.634,376.415,77.436,361.115,461.389,247.323,0,138.137,60.192,56.196,141.525,98.483,169.679,55.57,0,113.23,0,91.008,188.335,84.785,0,194.638,407.029,890.504,0,0,0,232.482,287.642,41.493,1065.573,476.089,427.184,519.515,398.653,245.944,2279.256,406.01,1363.028,72.938,152.958,43.208,477.035,97.398,41.945,81.686,57.934,157.04,0,129.701,0,98.492,27.765,202.894,0,0,0,0,222.859,592.687,212.08,175.36,287.367,271.521,217.541,149.842,302.355,0,130.235,192.037,47.088,289.743,51.939,187.654,577.407,645.147,215.012
glc-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754,0,0,0,0,2.326,0,0,0,0,40.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.116,0,0,0,0,0,0,0,2.824,0,0,0,0,0,0,0,2.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glc-2,0,0,0,0,0,0,62.275,8.421,0,0,12.413,0,0,0,0,0,0,0,0,0,0,38.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.263,0,0,0,0,0,0,0,0,0,0,19.363,26.439,0,128.025,0,0,0,0,0,39.416,0,0,0,0,30.292,0,38.488,0,96.783,0,36.431,0,0,0,0,0,0,0,0,0,0,13.191,0,0,0,0,0,0,0,0,126.579,11.507,3.154,0,156.209,0,0,157.939,0,0,0,0,0,0,0,19.448,0,23.159,27.38,0,0,0,0,0,0,0,2.416,0,0,0,0,0,0,0,0,0,0
glc-3,0,35.847,0,0,0,968.449,0,0,0,300.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.826,0,0,0,0,0,0,0,0,0,0,0,0,33.93,115.716,70.916,33.908,0,0,0,0,0,0,0,0,19.753,0,0,0,0,0,0,0,0,249.436,0,0,0,0,40.611,0,0,0,56.806,0,0,0,0,17.022,0,0,0,0,16.731,0,52.066,12.351,0,0,21.681,0,0,0,0,0,0,41.747,0,0,0,37.147,0,114.438,171.14,0,0,17.661,310.423,0,0,0,0,0,0,0,0,0,0,0,175.937,0,0,0,0,0,0,0,0,0,0,0,0
glc-4,99.946,15.518,7.155,3.571,28.265,157.099,18.838,84.127,122.298,14.505,30.708,0,4.08,0,14.643,0,0,31.744,14.479,0,6.215,25.09,0,55.816,274.971,92.357,139.168,0,29.983,0,6.044,60.37,0,116.306,0,12.622,0,79.462,38.551,27.79,0,0,40.639,0,0,0,0,0,0,20.306,14.117,0,6.459,224.806,0,68.055,92.299,36.828,0,190.062,31.503,20.168,0,57.163,0,0,29.77,0,0,124.691,144.928,8.808,19.171,0,66.168,0,0,0,0,15.922,0,159.594,4.426,0,0,197.113,2.555,86.089,0,3.757,26.88,0,20.857,12.641,0,0,27.041,51.414,74.688,92.837,95.858,8.12,84.744,284.008,370.099,184.924,0,0,44.085,0,0,0,0,0,17.89,111.979,0,30.621,46.312,7.038,0,0,0,0,0,105.401,0,0
mec-7,0,0,0,0,0,0,0,274.526,0,0,0,399.847,135940.8,704.791,0,0,0,0,0,0,0,0,0,186.606,0,0,0,0,6020.883,0,2039.065,844.408,0,1161.956,66448.02,0,0,0,0,0,1725.1,0,0,0,0,0,0,0,0,0,5562.644,2476.537,510.507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.08,0,0,0,0,0,0,0,147017.4,2288.471,0,0,1125.069,47685.73,0,0,0,11666.54,0,0,0,0,0,1044.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.754,0,0,0,0,0,0,0,0,0,0,0,0,0
tbb-1,93.141,89.712,61.829,98.807,70.076,194.764,121.626,96.229,116.011,60.61,248.872,110.541,54.007,0,105.221,207.174,85.656,182.95,136.768,70.051,104.22,89.813,79.354,84.864,127.06,76.881,144.764,131.753,36.839,105.214,129.689,128.71,37.313,114.707,71.209,48.52,140.295,151.429,101.466,104.224,193.794,308.931,187.556,267.013,229.24,187.25,228.423,71.951,401.955,56.324,184.642,292.538,232.527,336.961,247.015,328.215,162.459,231.095,149.295,0,170.706,105.259,98.076,234.784,142.401,90.876,226.01,224.368,158.699,326.928,181.275,148.427,36.131,200.717,154.577,92.341,75.365,66.228,95.443,98.87,173.901,235.889,79.261,64.718,0,125.007,35.09,198.018,38.074,171.118,138.158,123.121,62.891,108.071,86.82,219.276,166.262,81.324,130.768,112.365,61.533,77.536,147.049,126.402,97.645,0,126.461,21.519,197.259,35.052,44.816,25.589,91.66,99.229,117.49,138.363,141.374,302.75,166.692,393.621,161.928,235.189,206.526,303.135,184.576,141.959,153.728,104.837
tbb-2,269.513,1889.814,276.717,224.35,322.097,341.752,238.58,288.632,285.009,196.063,771.988,1131.599,554.152,117.904,721.547,1632.105,257.792,274.911,623.192,249.47,309.824,159.486,244.499,307.454,1899.399,1289.328,2130.594,841.354,941.317,1586.135,750.876,1339.588,545.085,787.478,344.233,321.975,240.814,651.26,467.178,196.435,1183.248,1261.368,1910.819,3518.987,1194.601,3530.213,3337.091,1182.859,995.223,1345.35,2889.298,2313.24,849.357,1318.161,1203.111,2191.138,705.772,432.184,742.974,976.606,691.98,1032.764,741.825,1035.89,1262.311,992.032,1112.394,1372.722,769.11,1995.621,1179.161,1762.42,1091.756,1433.325,3295.35,318.626,283.472,873.248,1109.67,2035.705,1011.871,1857.884,1984.338,820.716,1345.442,1825.535,604.241,1820.765,2201.509,2502.227,478.739,737.953,334.422,1489.877,376.083,572.331,556.027,310.32,440.622,351.668,306.47,409.802,799.791,392.386,454.615,590.36,469.618,492.577,723.831,864.132,1491.32,656.179,890.75,1291.976,1116.961,646.526,417.626,546.35,596.202,983.69,1315.909,1977.073,2362.609,2322.187,2024.903,1847.697,1764.663,1764.541
