cell_type,expression_level,gene
IL1,510.02,avr-14
IL2_DV,401.25,avr-14
RME_LR,372.785,avr-14
IL2_LR,301.808,avr-14
URY,287.596,avr-14
SMD,247.512,avr-14
RMD_LR,237.325,avr-14
RIC,223.294,avr-14
RIG,206.341,avr-14
OLQ,203.798,avr-14
OLL,188.84,avr-14
PVD,186.863,avr-14
FLP,184.374,avr-14
RME_DV,178.909,avr-14
SIA,178.19,avr-14
AVB,166.258,avr-14
URA,164.286,avr-14
AVA,156.663,avr-14
RIP,141.352,avr-14
RIA,139.113,avr-14
NSM,132.962,avr-14
ASER,130.055,avr-14
I5,119.923,avr-14
LUA,115.362,avr-14
SIB,114.632,avr-14
PHC,113.398,avr-14
AIZ,109.035,avr-14
ADE,108.734,avr-14
RIH,107.139,avr-14
M2,106.88,avr-14
PVC,105.993,avr-14
PVP,105.738,avr-14
RMD_DV,100.09,avr-14
DA,99.05,avr-14
AIA,98.811,avr-14
AVD,96.062,avr-14
I1,95.768,avr-14
ADA,93.73,avr-14
I4,90.017,avr-14
PVN,89.136,avr-14
VB02,88.535,avr-14
AIM,86.378,avr-14
AUA,86.356,avr-14
SAB,84.868,avr-14
RIM,83.503,avr-14
VB,82.817,avr-14
SMB,82.273,avr-14
PQR,82.032,avr-14
AS,81.989,avr-14
I2,75.943,avr-14
VA,69.169,avr-14
VD_DD,68.447,avr-14
AVJ,64.937,avr-14
ADF,64.586,avr-14
PVM,60.102,avr-14
DB,58.774,avr-14
AVF,58.75,avr-14
PVW,56.541,avr-14
PLM,55.718,avr-14
M5,55.241,avr-14
URX,54.468,avr-14
RIF,53.832,avr-14
M4,51.568,avr-14
RMH,49.775,avr-14
RIB,48.328,avr-14
DVB,48.233,avr-14
AWB,47.636,avr-14
AQR,46.617,avr-14
ALM,45.451,avr-14
VB01,45.199,avr-14
AVM,44.344,avr-14
AVE,43.734,avr-14
M3,39.41,avr-14
AIY,37.748,avr-14
RMF,36.883,avr-14
AVK,36.082,avr-14
PDB,34.103,avr-14
CEP,34.071,avr-14
I3,33.882,avr-14
DVC,30.575,avr-14
ASK,30.484,avr-14
ASH,29.839,avr-14
M1,29.402,avr-14
AIB,29.003,avr-14
AVH,28.616,avr-14
RIV,28.612,avr-14
AWC_ON,28.049,avr-14
DA9,26.343,avr-14
PHB,26.121,avr-14
AIN,25.093,avr-14
ASG,24.614,avr-14
ASEL,24.1,avr-14
DB01,23.9,avr-14
ADL,22.812,avr-14
ALA,22.793,avr-14
PHA,22.574,avr-14
VA12,22.197,avr-14
RIS,18.286,avr-14
BAG,16.178,avr-14
VC,15.822,avr-14
MC,15.028,avr-14
PDE,14.533,avr-14
ASI,14.389,avr-14
AVL,14.338,avr-14
PVR,12.249,avr-14
RID,11.522,avr-14
HSN,11.469,avr-14
SDQ,11.283,avr-14
PVQ,10.578,avr-14
AWA,6.651,avr-14
PVT,4.713,avr-14
RIB,2632.914,avr-15
RME_DV,1878.582,avr-15
RIA,1339.576,avr-15
RIS,629.236,avr-15
I1,470.935,avr-15
M2,337.415,avr-15
AVL,308.246,avr-15
HSN,287.21,avr-15
AFD,228.485,avr-15
RME_LR,156.104,avr-15
ADA,117.988,avr-15
IL1,115.311,avr-15
AIA,108.588,avr-15
DVA,99.906,avr-15
OLQ,88.425,avr-15
BAG,67.199,avr-15
SIA,59.847,avr-15
NSM,59.332,avr-15
ASK,56.698,avr-15
URA,51.494,avr-15
M4,49.427,avr-15
CAN,43.921,avr-15
AS,38.944,avr-15
RMG,26.862,avr-15
AIM,17.272,avr-15
AWA,40.736,glc-1
PVP,3.116,glc-1
RID,2.824,glc-1
RIV,2.461,glc-1
AVH,2.326,glc-1
AVB,0.754,glc-1
RIP,157.939,glc-2
RIG,156.209,glc-2
I3,128.025,glc-2
RIB,126.579,glc-2
BDU,108.263,glc-2
NSM,96.783,glc-2
AIB,62.275,glc-2
IL2_LR,39.416,glc-2
MC,38.488,glc-2
ASJ,38.122,glc-2
OLQ,36.431,glc-2
M4,30.292,glc-2
SAA,27.38,glc-2
I1,26.439,glc-2
RMH,23.159,glc-2
RMF,19.448,glc-2
HSN,19.363,glc-2
PVD,13.191,glc-2
AIZ,12.413,glc-2
RIC,11.507,glc-2
AIM,8.421,glc-2
RID,3.154,glc-2
URB,2.416,glc-2
AIA,968.449,glc-3
RMD_LR,310.423,glc-3
AIY,300.467,glc-3
IL2_LR,249.436,glc-3
SMD,175.937,glc-3
RIR,171.14,glc-3
BDU,115.716,glc-3
RIP,114.438,glc-3
CAN,70.916,glc-3
NSM,56.806,glc-3
PVC,52.066,glc-3
AVD,47.826,glc-3
RIC,41.747,glc-3
M4,40.611,glc-3
RIH,37.147,glc-3
ADE,35.847,glc-3
BAG,33.93,glc-3
CEP,33.908,glc-3
PVP,21.681,glc-3
HSN,19.753,glc-3
RMD_DV,17.661,glc-3
PDE,17.022,glc-3
PLN,16.731,glc-3
PVD,12.351,glc-3
RME_DV,370.099,glc-4
RMD_LR,284.008,glc-4
AVA,274.971,glc-4
I2,224.806,glc-4
PVP,197.113,glc-4
IL2_DV,190.062,glc-4
RME_LR,184.924,glc-4
PVC,159.594,glc-4
AIA,157.099,glc-4
OLL,144.928,glc-4
AVD,139.168,glc-4
NSM,124.691,glc-4
AIN,122.298,glc-4
AVL,116.306,glc-4
SMD,111.979,glc-4
VC,105.401,glc-4
ADA,99.946,glc-4
RIS,95.858,glc-4
RIR,92.837,glc-4
AVB,92.357,glc-4
I5,92.299,glc-4
PVR,86.089,glc-4
RMD_DV,84.744,glc-4
AIM,84.127,glc-4
AWC_OFF,79.462,glc-4
RIP,74.688,glc-4
I4,68.055,glc-4
PDE,66.168,glc-4
AVJ,60.37,glc-4
M2,57.163,glc-4
AUA,55.816,glc-4
RIM,51.414,glc-4
URX,46.312,glc-4
RMH,44.085,glc-4
CEP,40.639,glc-4
AWC_ON,38.551,glc-4
I6,36.828,glc-4
ASER,31.744,glc-4
IL2_LR,31.503,glc-4
AIZ,30.708,glc-4
URB,30.621,glc-4
AVF,29.983,glc-4
M5,29.77,glc-4
AFD,28.265,glc-4
BAG,27.79,glc-4
RIH,27.041,glc-4
RIA,26.88,glc-4
ASJ,25.09,glc-4
RIC,20.857,glc-4
DVC,20.306,glc-4
LUA,20.168,glc-4
PDA,19.171,glc-4
AIB,18.838,glc-4
SMB,17.89,glc-4
PLN,15.922,glc-4
ADE,15.518,glc-4
AQR,14.643,glc-4
AIY,14.505,glc-4
ASG,14.479,glc-4
FLP,14.117,glc-4
RID,12.641,glc-4
AWA,12.622,glc-4
OLQ,8.808,glc-4
RIV,8.12,glc-4
ADF,7.155,glc-4
URY,7.038,glc-4
I1,6.459,glc-4
ASI,6.215,glc-4
AVH,6.044,glc-4
PVD,4.426,glc-4
ALM,4.08,glc-4
PVW,3.757,glc-4
ADL,3.571,glc-4
PVQ,2.555,glc-4
I4,402.922,unc-7
AIZ,370.249,unc-7
PDB,281.634,unc-7
IL2_DV,230.845,unc-7
M2,227.559,unc-7
VC,201.495,unc-7
IL2_LR,200.221,unc-7
PVD,189.546,unc-7
OLQ,183.772,unc-7
DA,175.179,unc-7
URA,171.706,unc-7
I1,171.215,unc-7
URX,163.469,unc-7
M1,160.3,unc-7
AVA,159.494,unc-7
RIB,141.372,unc-7
AS,140.804,unc-7
PLM,128.954,unc-7
MI,120.839,unc-7
DB,120.387,unc-7
ADE,114.355,unc-7
PVW,113.533,unc-7
SMD,103.661,unc-7
PVN,97.476,unc-7
VC_4_5,96.919,unc-7
AVG,92.924,unc-7
DA9,92.625,unc-7
PVR,91.079,unc-7
RMD_DV,90.387,unc-7
SAB,85.998,unc-7
RIP,85.9,unc-7
PVC,84.807,unc-7
M5,83.596,unc-7
FLP,82.932,unc-7
RME_DV,82.382,unc-7
AVB,82.198,unc-7
AVE,73.995,unc-7
NSM,67.303,unc-7
RMD_LR,63.588,unc-7
HSN,60.063,unc-7
AVD,55.401,unc-7
RIA,54.764,unc-7
RIF,54.585,unc-7
LUA,54.567,unc-7
DB01,51.82,unc-7
RIG,47.766,unc-7
BDU,46.582,unc-7
ALM,45.868,unc-7
IL1,45.619,unc-7
VA,45.343,unc-7
DVC,43.797,unc-7
I5,43.332,unc-7
RMG,43.213,unc-7
SAA,43.208,unc-7
SIB,42.68,unc-7
VD_DD,42.252,unc-7
CEP,42.068,unc-7
PHC,41.766,unc-7
AVK,41.307,unc-7
SIA,38.741,unc-7
RIM,37.73,unc-7
M3,36.954,unc-7
PVQ,33.965,unc-7
AVJ,31.367,unc-7
ASK,30.628,unc-7
AVH,30.114,unc-7
RIV,29.741,unc-7
PVP,27.724,unc-7
AIB,26.275,unc-7
DVB,25.683,unc-7
SMB,25.237,unc-7
AVM,24.985,unc-7
RID,24.788,unc-7
PQR,24.248,unc-7
AUA,23.649,unc-7
PVM,23.307,unc-7
VB,22.935,unc-7
ASG,18.806,unc-7
ADL,18.57,unc-7
VB02,16.435,unc-7
ASI,14.177,unc-7
VA12,13.605,unc-7
PDE,8.422,unc-7
PVT,8.188,unc-7
I3,8.056,unc-7
AWA,7.895,unc-7
VC_4_5,570.762,unc-9
MC,527.038,unc-9
URB,492.774,unc-9
VA12,478.33,unc-9
DA,454.498,unc-9
DA9,452.555,unc-9
DB,405.729,unc-9
AS,361.47,unc-9
PVW,321.678,unc-9
RME_LR,316.784,unc-9
VC,291.237,unc-9
OLQ,278.859,unc-9
LUA,261.46,unc-9
VA,243.99,unc-9
IL1,243.135,unc-9
AVM,241.617,unc-9
VB,240.263,unc-9
SMD,236.031,unc-9
DB01,233.197,unc-9
I4,232.515,unc-9
RMD_DV,231.991,unc-9
I2,230.536,unc-9
VB01,222.852,unc-9
AVD,200.761,unc-9
I1,197.098,unc-9
URY,180.82,unc-9
M5,178.847,unc-9
SAB,178.585,unc-9
RMD_LR,169.48,unc-9
RME_DV,161.345,unc-9
RMH,161.043,unc-9
NSM,159.793,unc-9
VD_DD,156.199,unc-9
FLP,153.403,unc-9
ADA,147.133,unc-9
RIF,141.993,unc-9
M1,140.997,unc-9
AIN,135.845,unc-9
PLM,135.107,unc-9
AVE,131.889,unc-9
PVD,130.289,unc-9
PHC,128.36,unc-9
M2,122.646,unc-9
VB02,122.411,unc-9
URA,121.145,unc-9
AVJ,119.495,unc-9
CEP,115.836,unc-9
AVA,114.824,unc-9
PVC,114.385,unc-9
AIA,110.168,unc-9
BDU,106.391,unc-9
RIC,105.426,unc-9
RIP,105.187,unc-9
PVN,104.668,unc-9
PVR,104.594,unc-9
RIG,103.161,unc-9
PVM,101.923,unc-9
IL2_DV,101.318,unc-9
ALA,98.656,unc-9
IL2_LR,96.226,unc-9
OLL,95.718,unc-9
HSN,94.604,unc-9
AVH,92.467,unc-9
AVF,90.472,unc-9
PDB,88.343,unc-9
AUA,85.46,unc-9
RIM,82.71,unc-9
ADE,82.635,unc-9
PDE,78.92,unc-9
I6,77.685,unc-9
SIA,76.801,unc-9
URX,76.708,unc-9
DVC,76.215,unc-9
RIH,74.525,unc-9
SDQ,70.026,unc-9
ALM,69.551,unc-9
PLN,68.494,unc-9
RIB,68.458,unc-9
PDA,67.236,unc-9
AVG,66.31,unc-9
AIZ,62.417,unc-9
RIV,60.11,unc-9
RMF,59.205,unc-9
ASER,58.888,unc-9
AIB,52.516,unc-9
RMG,52.262,unc-9
I5,51.167,unc-9
ASEL,47.925,unc-9
AQR,42.817,unc-9
SMB,41.501,unc-9
SIB,40.801,unc-9
AIM,39.729,unc-9
RIA,36.208,unc-9
PQR,35.103,unc-9
M4,30.292,unc-9
M3,30.291,unc-9
PHB,30.027,unc-9
MI,27.398,unc-9
RID,27.213,unc-9
AVB,23.936,unc-9
DVB,21.639,unc-9
AWA,19.578,unc-9
PVQ,16.937,unc-9
AIY,14.639,unc-9
PVT,12.495,unc-9
PVP,12.332,unc-9
I3,8.056,unc-9
PVR,2279.256,ben-1
PVW,1363.028,ben-1
PVC,1065.573,ben-1
AVD,1056.26,ben-1
PDE,890.504,ben-1
DA,862.996,ben-1
HSN,860.634,ben-1
FLP,651.239,ben-1
DB,647.421,ben-1
VC_4_5,645.147,ben-1
AVJ,597.511,ben-1
SAB,592.687,ben-1
VC,577.407,ben-1
CEP,565.46,ben-1
AVF,555.248,ben-1
DB01,548.789,ben-1
BDU,540.72,ben-1
PVN,519.515,ben-1
AVG,492.341,ben-1
AS,490.33,ben-1
RID,477.035,ben-1
PVD,476.089,ben-1
I4,461.389,ben-1
PVM,427.184,ben-1
PDB,407.029,ben-1
PVT,406.01,ben-1
PVP,398.653,ben-1
ADE,388.301,ben-1
I1,376.415,ben-1
I3,361.115,ben-1
ALA,354.621,ben-1
AVA,324.377,ben-1
URB,302.355,ben-1
VB,289.743,ben-1
PLN,287.642,ben-1
SIB,287.367,ben-1
DVA,281.993,ben-1
SMB,271.521,ben-1
AVL,267.632,ben-1
AVB,262.906,ben-1
I5,247.323,ben-1
DA9,246.796,ben-1
PVQ,245.944,ben-1
AVK,235.065,ben-1
PLM,232.482,ben-1
SAA,222.859,ben-1
SMD,217.541,ben-1
VD_DD,215.012,ben-1
AIZ,213.891,ben-1
SDQ,212.08,ben-1
RME_DV,202.894,ben-1
PDA,194.638,ben-1
VA,192.037,ben-1
NSM,188.335,ben-1
VB02,187.654,ben-1
ALM,176.821,ben-1
SIA,175.36,ben-1
DVC,171.198,ben-1
M2,169.679,ben-1
AVH,163.16,ben-1
RIP,157.04,ben-1
RIB,152.958,ben-1
URA,149.842,ben-1
LUA,141.525,ben-1
IL1,138.137,ben-1
URY,130.235,ben-1
RIS,129.701,ben-1
DVB,117.63,ben-1
AVE,114.85,ben-1
M5,113.23,ben-1
ADA,105.039,ben-1
RMD_DV,98.492,ben-1
M1,98.483,ben-1
RIF,97.398,ben-1
MI,91.008,ben-1
AIM,89.763,ben-1
OLL,84.785,ben-1
RIH,81.686,ben-1
AVM,81.306,ben-1
CAN,80.3,ben-1
I2,77.436,ben-1
AIB,76.845,ben-1
RIA,72.938,ben-1
AIN,64.156,ben-1
IL2_DV,60.192,ben-1
RIM,57.934,ben-1
IL2_LR,56.196,ben-1
M3,55.57,ben-1
AQR,52.093,ben-1
VB01,51.939,ben-1
VA12,47.088,ben-1
RIC,43.208,ben-1
RIG,41.945,ben-1
PQR,41.493,ben-1
ASG,33.721,ben-1
RMD_LR,27.765,ben-1
ASI,20.888,ben-1
DVB,401.955,tbb-1
URY,393.621,tbb-1
I2,336.961,tbb-1
I4,328.215,tbb-1
NSM,326.928,tbb-1
CAN,308.931,tbb-1
VB01,303.135,tbb-1
URB,302.75,tbb-1
HSN,292.538,tbb-1
IL2_DV,270.563,tbb-1
DA,267.013,tbb-1
AIZ,248.872,tbb-1
I3,247.015,tbb-1
PVC,235.889,tbb-1
VA12,235.189,tbb-1
M2,234.784,tbb-1
I1,232.527,tbb-1
I6,231.095,tbb-1
DA9,229.24,tbb-1
DB01,228.423,tbb-1
M5,226.01,tbb-1
MC,224.368,tbb-1
RIG,219.276,tbb-1
AS,207.174,tbb-1
VB,206.526,tbb-1
PDB,200.717,tbb-1
PVR,198.018,tbb-1
RMH,197.259,tbb-1
AIA,194.764,tbb-1
BDU,193.794,tbb-1
CEP,187.556,tbb-1
DB,187.25,tbb-1
FLP,184.642,tbb-1
VB02,184.576,tbb-1
ASER,182.95,tbb-1
OLL,181.275,tbb-1
PQR,173.901,tbb-1
PVW,171.118,tbb-1
IL2_LR,170.706,tbb-1
URX,166.692,tbb-1
RIH,166.262,tbb-1
I5,162.459,tbb-1
VA,161.928,tbb-1
MI,158.699,tbb-1
PDE,154.577,tbb-1
VC_4_5,153.728,tbb-1
AWC_OFF,151.429,tbb-1
IL1,149.295,tbb-1
OLQ,148.427,tbb-1
RMD_DV,147.049,tbb-1
AVD,144.764,tbb-1
M3,142.401,tbb-1
