cell_type,expression_level,gene
VC,141.959,tbb-1
URA,141.374,tbb-1
AWB,140.295,tbb-1
SMD,138.363,tbb-1
RIA,138.158,tbb-1
ASG,136.768,tbb-1
AVE,131.753,tbb-1
RIP,130.768,tbb-1
AVH,129.689,tbb-1
AVJ,128.71,tbb-1
AVA,127.06,tbb-1
RMF,126.461,tbb-1
RMD_LR,126.402,tbb-1
PVP,125.007,tbb-1
RIB,123.121,tbb-1
AIB,121.626,tbb-1
SMB,117.49,tbb-1
AIN,116.011,tbb-1
AVL,114.707,tbb-1
RIR,112.365,tbb-1
ALA,110.541,tbb-1
RID,108.071,tbb-1
LUA,105.259,tbb-1
AQR,105.221,tbb-1
AVG,105.214,tbb-1
VD_DD,104.837,tbb-1
BAG,104.224,tbb-1
ASI,104.22,tbb-1
AWC_ON,101.466,tbb-1
SIB,99.229,tbb-1
PLN,98.87,tbb-1
ADL,98.807,tbb-1
M1,98.076,tbb-1
RME_DV,97.645,tbb-1
AIM,96.229,tbb-1
PLM,95.443,tbb-1
ADA,93.141,tbb-1
PHA,92.341,tbb-1
SIA,91.66,tbb-1
M4,90.876,tbb-1
ASJ,89.813,tbb-1
ADE,89.712,tbb-1
RIF,86.82,tbb-1
ASEL,85.656,tbb-1
AUA,84.864,tbb-1
RIM,81.324,tbb-1
ASK,79.354,tbb-1
PVD,79.261,tbb-1
RIV,77.536,tbb-1
AVB,76.881,tbb-1
PHB,75.365,tbb-1
DVA,71.951,tbb-1
AVM,71.209,tbb-1
AFD,70.076,tbb-1
ASH,70.051,tbb-1
PHC,66.228,tbb-1
PVM,64.718,tbb-1
RIC,62.891,tbb-1
ADF,61.829,tbb-1
RIS,61.533,tbb-1
AIY,60.61,tbb-1
DVC,56.324,tbb-1
ALM,54.007,tbb-1
AWA,48.52,tbb-1
SAB,44.816,tbb-1
PVT,38.074,tbb-1
AVK,37.313,tbb-1
AVF,36.839,tbb-1
PDA,36.131,tbb-1
PVQ,35.09,tbb-1
SAA,35.052,tbb-1
SDQ,25.589,tbb-1
RMG,21.519,tbb-1
DB,3530.213,tbb-2
DA,3518.987,tbb-2
DB01,3337.091,tbb-2
PDE,3295.35,tbb-2
FLP,2889.298,tbb-2
PVW,2502.227,tbb-2
VB,2362.609,tbb-2
VB01,2322.187,tbb-2
HSN,2313.24,tbb-2
PVT,2201.509,tbb-2
I4,2191.138,tbb-2
AVD,2130.594,tbb-2
PLN,2035.705,tbb-2
VB02,2024.903,tbb-2
NSM,1995.621,tbb-2
PVD,1984.338,tbb-2
VA12,1977.073,tbb-2
CEP,1910.819,tbb-2
AVA,1899.399,tbb-2
ADE,1889.814,tbb-2
PVC,1857.884,tbb-2
VC,1847.697,tbb-2
PVP,1825.535,tbb-2
PVR,1820.765,tbb-2
VC_4_5,1764.663,tbb-2
VD_DD,1764.541,tbb-2
OLQ,1762.42,tbb-2
AS,1632.105,tbb-2
AVG,1586.135,tbb-2
SAB,1491.32,tbb-2
RID,1489.877,tbb-2
PDB,1433.325,tbb-2
MC,1372.722,tbb-2
PVN,1345.442,tbb-2
DVC,1345.35,tbb-2
AVJ,1339.588,tbb-2
I2,1318.161,tbb-2
VA,1315.909,tbb-2
SIB,1291.976,tbb-2
AVB,1289.328,tbb-2
M3,1262.311,tbb-2
CAN,1261.368,tbb-2
I3,1203.111,tbb-2
DA9,1194.601,tbb-2
BDU,1183.248,tbb-2
DVA,1182.859,tbb-2
OLL,1179.161,tbb-2
ALA,1131.599,tbb-2
SMB,1116.961,tbb-2
M5,1112.394,tbb-2
PLM,1109.67,tbb-2
PDA,1091.756,tbb-2
M2,1035.89,tbb-2
LUA,1032.764,tbb-2
PQR,1011.871,tbb-2
DVB,995.223,tbb-2
M4,992.032,tbb-2
URY,983.69,tbb-2
IL2_DV,976.606,tbb-2
AVF,941.317,tbb-2
SIA,890.75,tbb-2
PHC,873.248,tbb-2
SAA,864.132,tbb-2
I1,849.357,tbb-2
AVE,841.354,tbb-2
PVM,820.716,tbb-2
RMD_DV,799.791,tbb-2
AVL,787.478,tbb-2
AIZ,771.988,tbb-2
MI,769.11,tbb-2
AVH,750.876,tbb-2
IL1,742.974,tbb-2
M1,741.825,tbb-2
RIB,737.953,tbb-2
RMH,723.831,tbb-2
AQR,721.547,tbb-2
I5,705.772,tbb-2
IL2_LR,691.98,tbb-2
SDQ,656.179,tbb-2
AWC_OFF,651.26,tbb-2
SMD,646.526,tbb-2
ASG,623.192,tbb-2
PVQ,604.241,tbb-2
URX,596.202,tbb-2
RME_LR,590.36,tbb-2
RIG,572.331,tbb-2
RIH,556.027,tbb-2
ALM,554.152,tbb-2
URB,546.35,tbb-2
AVK,545.085,tbb-2
RMG,492.577,tbb-2
RIA,478.739,tbb-2
RMF,469.618,tbb-2
AWC_ON,467.178,tbb-2
RME_DV,454.615,tbb-2
RIP,440.622,tbb-2
I6,432.184,tbb-2
URA,417.626,tbb-2
RIV,409.802,tbb-2
RMD_LR,392.386,tbb-2
RIF,376.083,tbb-2
RIR,351.668,tbb-2
AVM,344.233,tbb-2
AIA,341.752,tbb-2
RIC,334.422,tbb-2
AFD,322.097,tbb-2
AWA,321.975,tbb-2
PHA,318.626,tbb-2
RIM,310.32,tbb-2
ASI,309.824,tbb-2
AUA,307.454,tbb-2
RIS,306.47,tbb-2
AIM,288.632,tbb-2
AIN,285.009,tbb-2
PHB,283.472,tbb-2
ADF,276.717,tbb-2
ASER,274.911,tbb-2
ADA,269.513,tbb-2
ASEL,257.792,tbb-2
ASH,249.47,tbb-2
ASK,244.499,tbb-2
AWB,240.814,tbb-2
AIB,238.58,tbb-2
ADL,224.35,tbb-2
BAG,196.435,tbb-2
AIY,196.063,tbb-2
ASJ,159.486,tbb-2
ALN,117.904,tbb-2
OLQ,1836.923,tbb-4
CEP,1094.47,tbb-4
IL1,822.961,tbb-4
PDE,546.443,tbb-4
IL2_DV,487.32,tbb-4
PQR,341.046,tbb-4
ASER,255.635,tbb-4
IL2_LR,246.605,tbb-4
OLL,203.682,tbb-4
ASG,172.273,tbb-4
ADF,168.005,tbb-4
AWB,167.894,tbb-4
AQR,159.947,tbb-4
ASI,150.616,tbb-4
URX,118.887,tbb-4
PHB,115.563,tbb-4
ASK,114.421,tbb-4
ADL,113.266,tbb-4
ASJ,102.699,tbb-4
ASEL,102.08,tbb-4
ADE,101.14,tbb-4
BAG,79.976,tbb-4
AWC_ON,58.419,tbb-4
PHA,53.67,tbb-4
ASH,49.959,tbb-4
AWC_OFF,39.372,tbb-4
AWA,38.109,tbb-4
OLQ,240.485,tbb-6
CEP,202.05,tbb-6
PQR,174.361,tbb-6
PDE,164.025,tbb-6
OLL,106.303,tbb-6
AQR,92.722,tbb-6
IL2_DV,86.983,tbb-6
AVD,74.614,tbb-6
PHA,67.707,tbb-6
ADL,63.21,tbb-6
ADE,58.035,tbb-6
URX,50.918,tbb-6
ASK,48.782,tbb-6
I4,47.374,tbb-6
ASI,46.979,tbb-6
IL2_LR,38.846,tbb-6
NSM,37.336,tbb-6
I3,33.609,tbb-6
AVJ,33.041,tbb-6
ASH,21.136,tbb-6
ASJ,20.153,tbb-6
PHB,16.852,tbb-6
ASG,15.96,tbb-6
PVR,14.93,tbb-6
RMG,13.69,tbb-6
MC,9.793,tbb-6
AWC_ON,6.63,tbb-6
PVT,6.44,tbb-6
PLM,147017.4,mec-7
ALM,135940.8,mec-7
AVM,66448.02,mec-7
PVM,47685.73,mec-7
PVR,11666.54,mec-7
AVF,6020.883,mec-7
FLP,5562.644,mec-7
HSN,2476.537,mec-7
PLN,2288.471,mec-7
AVH,2039.065,mec-7
BDU,1725.1,mec-7
AVL,1161.956,mec-7
PVD,1125.069,mec-7
RID,1044.361,mec-7
AVJ,844.408,mec-7
ALN,704.791,mec-7
I1,510.507,mec-7
ALA,399.847,mec-7
AIM,274.526,mec-7
AUA,186.606,mec-7
SMB,104.754,mec-7
OLL,88.08,mec-7
