"strain","condition","generation","mean","sd","mean_percent","sd_percent"
"PHX2481","Ivermectin",3,0.314490722755554,0.0963288848213398,31.4490722755554,9.63288848213398
"PHX2481","Ivermectin",5,0.141266136788395,0.127531503164414,14.1266136788395,12.7531503164413
"PHX2481","Ivermectin",7,0.159646188702536,0.259640778886081,15.9646188702536,25.9640778886081
"PHX2502","DMSO",1,0.0610776173432757,0.0303822179002497,6.10776173432757,3.03822179002497
"PHX2502","DMSO",3,0.00829064913766083,0.00801626012903358,0.829064913766083,0.801626012903358
"PHX2502","DMSO",5,0.00274567093312257,0.00223476107110351,0.274567093312257,0.223476107110351
"PHX2502","DMSO",7,0.00230078105309451,0.00333234755791007,0.230078105309451,0.333234755791007
"PHX2502","Ivermectin",1,0.0593785338335381,0.0257213660847403,5.93785338335381,2.57213660847403
"PHX2502","Ivermectin",3,0.00404593404280292,0.0047770325229861,0.404593404280292,0.47770325229861
"PHX2502","Ivermectin",5,0.00210190065890244,0.00414244331451642,0.210190065890244,0.414244331451642
"PHX2502","Ivermectin",7,0.00159896377643821,0.00178896510001746,0.159896377643821,0.178896510001746
"PHX2647","DMSO",1,0.394836578395356,0.132860414405003,39.4836578395356,13.2860414405003
"PHX2647","DMSO",3,0.377369382085068,0.129636743804135,37.7369382085068,12.9636743804135
"PHX2647","DMSO",5,0.278215851181879,0.13627304788265,27.8215851181879,13.627304788265
"PHX2647","DMSO",7,0.178217391002698,0.0748914177193962,17.8217391002698,7.48914177193962
"PHX2647","Ivermectin",1,0.359009472701086,0.134138600454411,35.9009472701086,13.4138600454411
"PHX2647","Ivermectin",3,0.0145321475264644,0.0366113961763988,1.45321475264644,3.66113961763988
"PHX2647","Ivermectin",5,0.000602215867938351,0.000532156429130417,0.0602215867938351,0.0532156429130417
"PHX2647","Ivermectin",7,0.000542286904300325,0.00109176153790721,0.0542286904300325,0.109176153790721
