Metadata_Plate,Metadata_Well,assay_type,food_conc_OD,food_type,diluent,diluent_concentration_perc,drug,concentration_um,drug_stock_prep_date,drug_prep_method,strain,bleach,well_censor,well_censor_reason,notes
p021,A01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,A12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,B12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p021,C01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,C12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p021,D12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,A01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,A12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,B12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p022,C01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,C12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D05,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D06,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D07,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D08,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D09,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D10,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D11,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p022,D12,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,30,,,N2,1,,,
p023,A01,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p023,A02,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p023,A03,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
p023,A04,48h,10,15h_HB101_OD100_20221214_ESAS,DMSO,1,albendazole,0,,,N2,1,,,
