"plate","well","strain","replicate","generation","condition","allele_freq"
1,"D12","PHX2647",5,7,"albendazole","0.142485699"
4,"H07","ECA2688",8,5,"albendazole","0.053606238"
6,"D12","PHX2647",4,3,"DMSO","0.121334681"
6,"F12","N2",2,1,"albendazole","0.3375"
4,"F05","ECA882",8,3,"albendazole","0.990249187"
4,"G04","ECA2690",6,5,"DMSO","0.000907544"
3,"C09","ECA2690",3,5,"DMSO","0.000762361"
1,"E12","N2",6,1,"albendazole","0.292057227"
3,"A12","PHX2647",8,7,"DMSO","0.083779648"
6,"H12","ECA2689",1,1,"DMSO","0.010469638"
4,"D04","PHX2647",4,3,"albendazole","0.161606268"
4,"H05","N2",4,3,"DMSO","0.265704584"
1,"B12","PHX2481",3,1,"DMSO","0.191461412"
4,"A04","PHX2481",4,1,"DMSO","0.013929454"
4,"A02","ECA2688",7,3,"DMSO","0.431818182"
3,"B12","ECA2690",6,5,"albendazole","0.00036897"
1,"H12","N2",4,5,"albendazole","0.335028249"
1,"B02","ECA2689",2,3,"DMSO","0.009660697"
1,"A12","N2",10,1,"DMSO","0.23315639"
4,"H03","PHX2502",7,3,"albendazole","0.002760351"
3,"E01","ECA882",5,3,"DMSO","0.576557093"
3,"D12","ECA2688",1,3,"albendazole","0.148081535"
3,"C12","PHX2502",4,3,"albendazole","0.001480568"
9,"A02","ECA882",2,3,"albendazole","0.971439853"
9,"D01","N2",4,7,"DMSO","0.178947368"
9,"C02","ECA2687",10,1,"albendazole","0.034521158"
3,"E12","ECA2688",3,5,"albendazole","0.023179642"
4,"F10","ECA2687",6,1,"DMSO","0.002837808"
6,"B12","ECA2690",9,3,"DMSO","0.00171278"
1,"F12","ECA2687",1,5,"albendazole","0.00142898"
3,"G12","PHX2502",6,1,"albendazole","0.092323965"
3,"F12","PHX2647",5,1,"albendazole","0.222960725"
4,"C04","ECA2689",8,3,"DMSO","0.004571121"
2,"F01","N2",9,5,"DMSO","0.54877485"
4,"B04","ECA2690",10,7,"albendazole","8.58738E-05"
8,"A04","PHX2647",1,5,"albendazole","0.10027248"
6,"C02","PHX2481",8,3,"DMSO","0.112903226"
6,"G04","PHX2647",9,7,"albendazole","0.015500121"
4,"E01","N2",6,1,"DMSO","0.249125874"
4,"E04","PHX2502",8,7,"albendazole","8.29669E-05"
4,"H02","ECA2687",7,7,"albendazole","0"
5,"G12","ECA2690",10,3,"albendazole","0.001078749"
4,"E02","ECA2687",10,5,"albendazole","0.000262032"
6,"H02","PHX2647",2,5,"albendazole","0.132009926"
6,"F02","ECA2688",3,1,"DMSO","0.204163623"
5,"E07","PHX2647",7,5,"albendazole","0.028379388"
5,"C12","PHX2502",2,5,"albendazole","0.000276141"
4,"G02","ECA2687",4,1,"DMSO","0.039435809"
9,"C05","PHX2481",9,1,"albendazole","0.145904762"
2,"H01","ECA882",1,3,"DMSO","0.469311377"
3,"H01","ECA2687",5,3,"albendazole","0.001522649"
3,"H12","ECA2687",9,5,"DMSO","0"
3,"G01","ECA2687",1,7,"DMSO","0"
1,"B11","ECA2689",9,3,"DMSO","0.00327641"
5,"D10","ECA2690",3,1,"albendazole","0.010580913"
3,"A09","ECA2690",8,7,"DMSO","0.000490878"
5,"D01","ECA882",4,7,"DMSO","0.389583333"
3,"H09","ECA2690",2,5,"albendazole","0.000758725"
6,"D01","ECA2687",8,3,"albendazole","0.005955007"
3,"D11","ECA882",7,1,"albendazole","0.472984942"
5,"E06","ECA882",9,7,"albendazole","0.999833333"
6,"E02","ECA2689",2,5,"albendazole","0.001936317"
1,"C11","PHX2502",4,7,"albendazole","0.000418305"
3,"F09","N2",2,1,"DMSO","0.317433277"
5,"G02","PHX2481",1,1,"DMSO","0.217662338"
6,"D02","ECA2688",4,3,"albendazole","0.324106113"
1,"F04","ECA2690",5,5,"albendazole","0.000412405"
2,"A09","ECA2687",5,3,"DMSO","0.003146819"
3,"B09","N2",10,7,"albendazole","0.126666667"
4,"C10","ECA2690",10,5,"albendazole","0.000237192"
5,"B06","PHX2481",9,7,"DMSO","0.16140257"
