"plate","well","strain","replicate","generation","condition","allele_freq"
5,"B02","ECA2689",6,5,"albendazole","0.00020591"
7,"G02","N2",9,7,"albendazole","0.650769231"
3,"E11","ECA2688",7,5,"albendazole","0.050918951"
5,"H10","ECA882",7,7,"albendazole","0.999757439"
3,"G07","PHX2481",3,7,"albendazole","0.065337001"
4,"B12","ECA2688",8,7,"albendazole","0.005819593"
1,"H05","N2",1,1,"DMSO","0.021513353"
6,"G01","ECA2688",3,3,"albendazole","0.121076233"
3,"D01","N2",1,3,"DMSO","0.38046983"
3,"D07","PHX2647",3,3,"DMSO","0.281034483"
3,"F01","PHX2647",9,1,"DMSO","0.25466121"
1,"E11","PHX2481",1,7,"albendazole","0.338113208"
3,"G09","PHX2502",7,7,"DMSO","0.000396197"
9,"D02","ECA882",3,1,"DMSO","0.319928685"
5,"D02","PHX2481",9,5,"DMSO","0.129685917"
1,"B05","PHX2481",10,1,"DMSO","0.258326093"
4,"F01","ECA882",1,7,"DMSO","0.85"
3,"C07","PHX2647",10,1,"DMSO","0.273615635"
5,"G07","PHX2481",8,1,"DMSO","0.296945872"
6,"B03","ECA2687",10,3,"albendazole","0.001032098"
5,"A10","PHX2647",7,1,"DMSO","0.140535793"
6,"B02","ECA2687",5,1,"DMSO","0.045558412"
3,"F11","PHX2647",3,1,"DMSO","0.27088916"
4,"E12","ECA2690",9,1,"albendazole","0.006157113"
6,"H07","PHX2502",8,3,"DMSO","0.00010175"
4,"B08","ECA2688",7,7,"DMSO","0.036261682"
5,"C07","ECA2689",6,3,"albendazole","0.001960784"
5,"E12","N2",5,1,"DMSO","0.43373494"
5,"G10","ECA2687",9,1,"albendazole","0.004995005"
1,"F11","PHX2481",7,1,"DMSO","0.061696658"
3,"H07","ECA2689",1,5,"albendazole","0.001153973"
3,"B07","ECA882",6,5,"DMSO","0.324486301"
3,"A11","ECA2689",1,5,"DMSO","0.000154"
5,"D08","ECA2688",4,5,"albendazole","0.113436123"
3,"C08","PHX2481",3,7,"DMSO","0.100487211"
3,"E07","ECA882",3,7,"albendazole","0.998562573"
1,"A05","PHX2647",4,5,"albendazole","0.10524877"
1,"A02","ECA2689",7,2,"DMSO","0.017883481"
7,"E06","ECA882",3,1,"albendazole","0.58941528"
3,"F08","ECA2688",4,3,"DMSO","0.055361813"
5,"H08","ECA2688",9,7,"DMSO","0.007911553"
6,"E04","ECA2687",1,1,"DMSO","0.030683031"
7,"C06","ECA2689",7,5,"DMSO","0"
8,"D05","ECA2689",9,5,"albendazole","8.48752E-05"
6,"A02","PHX2481",1,5,"DMSO","0.100214527"
6,"A04","PHX2481",10,3,"albendazole","0.029434851"
3,"D09","ECA2690",7,7,"albendazole","0"
6,"F01","PHX2481",5,5,"albendazole","0.365598027"
5,"C10","ECA2688",3,3,"DMSO","0.072307692"
7,"H08","PHX2647",8,3,"albendazole","0.271604938"
6,"G07","PHX2502",10,1,"DMSO","0.037831447"
3,"E05","PHX2647",10,3,"albendazole","0.224896836"
7,"A10","PHX2647",8,3,"DMSO","0.276173285"
1,"G04","ECA2690",6,1,"DMSO","0.032332976"
1,"A11","ECA882",4,3,"albendazole","0.975736278"
1,"F05","PHX2647",4,5,"DMSO","0.036268425"
5,"E01","N2",5,5,"DMSO","0.473633285"
3,"G11","ECA2688",7,5,"DMSO","0.174297442"
6,"G10","ECA2688",2,7,"albendazole","0.006957622"
4,"C06","PHX2647",9,5,"albendazole","0.014833575"
4,"D10","PHX2481",3,3,"DMSO","0.090674411"
4,"G10","ECA882",10,5,"DMSO","0.696670777"
7,"G10","N2",1,5,"DMSO","0.401926445"
9,"B05","ECA2690",9,5,"albendazole","0.000934361"
1,"G11","ECA2687",8,3,"DMSO","0.003702032"
7,"F06","PHX2647",6,7,"DMSO","0.004227337"
2,"A02","PHX2647",1,7,"albendazole","0.12311622"
1,"C02","ECA2689",9,2,"DMSO","0.032862191"
5,"E08","ECA2687",1,3,"albendazole","0.001869776"
6,"B04","ECA2688",3,7,"albendazole","0.006059137"
7,"E01","PHX2647",2,1,"DMSO","0.197332608"
6,"F03","PHX2481",7,5,"DMSO","0.005244755"
5,"H02","N2",5,1,"albendazole","0.289366053"
5,"E02","N2",10,7,"DMSO","0.309074573"
6,"H09","ECA882",9,7,"DMSO","0.493036212"
1,"C05","ECA2690",8,5,"DMSO","0.001159286"
3,"F07","PHX2502",1,3,"albendazole","0.001836922"
6,"E07","ECA2690",4,7,"DMSO","0.000542257"
6,"D03","ECA2690",4,7,"albendazole","0.000228363"
4,"E08","ECA2689",5,3,"DMSO","0"
1,"E04","ECA882",8,1,"DMSO","0.31810433"
4,"D01","ECA2689",8,1,"DMSO","0.026138452"
3,"E09","ECA2687",3,1,"albendazole","0.027097078"
2,"E01","ECA2688",4,5,"DMSO","0.009494051"
6,"C03","N2",3,3,"DMSO","0.294117647"
1,"A07","ECA2690",1,7,"albendazole","0.000370316"
6,"E09","PHX2502",6,5,"DMSO","0.007930786"
1,"B04","PHX2502",10,5,"DMSO","0.000365123"
6,"A10","ECA2690",4,1,"albendazole","0.018938748"
4,"B10","PHX2502",3,7,"albendazole","0"
7,"E10","ECA882",6,3,"DMSO","0.427884615"
5,"B08","ECA2688",3,5,"DMSO","0.013912745"
8,"D03","PHX2647",10,7,"DMSO","0.010620386"
6,"H01","PHX2502",9,1,"albendazole","0.046445305"
1,"H11","PHX2647",10,3,"DMSO","0.167685871"
3,"E06","ECA882",7,1,"DMSO","0.291608392"
5,"F12","PHX2502",6,5,"albendazole","0.001430254"
7,"G04","N2",4,1,"DMSO","0.231107206"
3,"D06","PHX2647",5,3,"DMSO","0.158602151"
4,"H10","ECA882",8,5,"DMSO","0.06122449"
9,"G05","ECA2688",2,3,"DMSO","0.085892514"
6,"G02","PHX2647",8,5,"DMSO","0.184397163"
4,"F02","N2",9,5,"albendazole","0.557377049"
6,"F06","PHX2502",3,1,"DMSO","0.026411357"
6,"C04","PHX2481",5,3,"DMSO","0.315151515"
5,"H12","ECA2688",9,3,"albendazole","0.186715269"
3,"C06","PHX2502",8,1,"DMSO","0.02542551"
6,"D07","PHX2481",4,3,"DMSO","0.192114418"
3,"H11","ECA2688",2,1,"albendazole","0.206074461"
4,"B07","ECA2690",1,3,"DMSO","0.000364564"
3,"E08","ECA2687",5,7,"DMSO","0.000215765"
9,"B02","ECA2690",7,3,"DMSO","0.015428267"
7,"D07","PHX2481",8,5,"albendazole","0.101966164"
7,"H10","N2",6,7,"albendazole","0.337748344"
7,"D08","ECA2689",2,3,"albendazole","0.00226886"
7,"D10","N2",2,7,"albendazole","0.300653595"
8,"A10","PHX2647",6,1,"albendazole","0.143022806"
6,"E01","N2",3,1,"albendazole","0.302833078"
1,"E05","ECA2688",8,1,"albendazole","0.129224652"
4,"D02","PHX2502",4,5,"albendazole","0.000297929"
1,"B09","PHX2502",10,7,"albendazole","0.000143875"
5,"A02","PHX2502",1,3,"DMSO","0.001210444"
2,"G03","PHX2481",10,3,"DMSO","0.144004014"
3,"B06","ECA2688",8,3,"albendazole","0.181212121"
8,"F11","N2",7,5,"albendazole","0.310074319"
6,"D11","ECA882",10,1,"albendazole","0.68226601"
6,"G06","PHX2481",2,3,"DMSO","0.116141732"
5,"G01","PHX2481",9,3,"albendazole","0.147689376"
6,"D06","PHX2647",6,3,"DMSO","0.302259887"
2,"G01","ECA2689",2,5,"DMSO","0.016118028"
7,"G07","PHX2647",9,1,"albendazole","0.240492575"
8,"A03","N2",9,1,"DMSO","0.347965475"
5,"G05","ECA882",7,3,"DMSO","0.414533686"
3,"A06","ECA882",1,5,"DMSO","0.725490196"
4,"F08","ECA2689",5,3,"albendazole","0.001792115"
1,"G02","ECA2690",6,2,"albendazole","0.016376512"
5,"A12","ECA882",1,5,"albendazole","0.993710127"
5,"C06","PHX2647",5,3,"albendazole","0.328224101"
6,"D10","ECA2687",2,3,"DMSO","0.000437573"
5,"D06","ECA882",8,3,"DMSO","0.330567082"
4,"C02","PHX2502",7,3,"DMSO","0.00185031"
5,"A05","PHX2647",7,3,"albendazole","0.306089744"
5,"B10","ECA882",6,7,"albendazole","0.9999258"
1,"F02","PHX2502",10,3,"DMSO","0.002537183"
3,"D08","ECA2687",7,1,"DMSO","0.036475771"
8,"D11","ECA2687",9,7,"DMSO","0"
5,"D07","ECA2689",2,1,"DMSO","0.066523605"
3,"A08","ECA2687",10,1,"DMSO","0.024883826"
5,"G06","ECA2687",8,1,"DMSO","0.013710012"
1,"H02","ECA2689",1,7,"DMSO","0.000209805"
7,"C08","PHX2647",2,1,"albendazole","0.219254658"
4,"B05","ECA2689",3,5,"albendazole","0.000171527"
6,"D04","PHX2647",7,7,"DMSO","0.017893661"
1,"A04","ECA882",10,3,"DMSO","0.575607903"
7,"C03","PHX2481",10,1,"albendazole","0.033165829"
5,"C08","PHX2481",2,1,"DMSO","0.162162162"
6,"B06","N2",9,1,"albendazole","0.327573794"
7,"E04","ECA2687",5,1,"albendazole","0.025161842"
5,"D05","ECA2689",1,1,"albendazole","0.063552044"
7,"B06","PHX2647",3,7,"DMSO","0.004982469"
4,"G12","PHX2502",3,5,"albendazole","0.000748895"
9,"H01","PHX2481",4,7,"albendazole","0.027233115"
4,"D05","ECA2687",9,3,"DMSO","0.000143544"
8,"H11","ECA2690",7,5,"DMSO","0.000851723"
6,"H11","ECA2689",4,5,"DMSO","0.002502002"
6,"E06","ECA2690",6,3,"DMSO","0.008134065"
5,"F02","N2",10,5,"albendazole","0.075027996"
7,"H11","PHX2502",1,5,"DMSO","0.000749681"
7,"D03","ECA882",9,3,"albendazole","0.992872637"
9,"H06","ECA2690",10,3,"DMSO","0.009371043"
3,"G06","ECA2689",10,3,"DMSO","0.00228833"
6,"G08","ECA882",9,5,"DMSO","0.298701299"
5,"H06","ECA2689",2,1,"albendazole","0.07922645"
7,"F08","ECA2690",3,7,"DMSO","0"
4,"B02","N2",3,1,"DMSO","0.403553299"
7,"C02","ECA2688",10,1,"albendazole","0.281584158"
4,"E10","PHX2481",10,5,"albendazole","0.055644902"
3,"C05","N2",6,3,"albendazole","0.346398305"
4,"A07","PHX2502",9,1,"DMSO","0.026403425"
1,"F09","ECA2690",8,3,"albendazole","0.0013713"
6,"G09","PHX2502",5,5,"albendazole","0.000369754"
6,"E11","N2",2,3,"albendazole","0.269357496"
4,"C05","PHX2481",5,7,"albendazole","0.204973118"
2,"E03","PHX2647",8,1,"DMSO","0.226828546"
6,"E10","PHX2481",7,3,"albendazole","0.096303502"
5,"H07","PHX2481",5,7,"DMSO","0.281135531"
9,"E05","PHX2481",9,3,"DMSO","0.081418783"
4,"A10","ECA882",2,1,"albendazole","0.720320856"
4,"F03","PHX2481",7,7,"DMSO","0.000875657"
7,"G01","N2",7,7,"albendazole","0.292295473"
1,"C04","ECA2690",3,3,"albendazole","0.006293383"
8,"D10","PHX2502",4,3,"DMSO","0.005137135"
5,"F06","ECA2687",6,7,"albendazole","0"
1,"G09","ECA2689",5,7,"albendazole","0.001952807"
6,"F07","N2",6,7,"DMSO","0.375434531"
4,"B03","ECA2689",7,5,"albendazole","0.001360429"
6,"D08","ECA2687",2,1,"albendazole","0.016427822"
1,"E02","ECA2689",9,4,"albendazole","0.004712939"
5,"E05","PHX2481",10,5,"DMSO","0.111370882"
6,"D09","PHX2647",4,7,"DMSO","0.008427673"
4,"C08","N2",1,7,"DMSO","0.620847652"
7,"C04","ECA2688",1,1,"albendazole","0.182835821"
6,"C10","ECA2688",10,5,"albendazole","0.019741838"
3,"A07","PHX2481",7,3,"DMSO","0.02025475"
5,"C05","ECA2687",8,1,"albendazole","0.007844419"
3,"H03","N2",6,5,"albendazole","0.462545836"
6,"B07","PHX2647",6,5,"DMSO","0.063506815"
7,"C10","PHX2481",1,3,"DMSO","0.104789"
3,"H06","ECA882",4,1,"DMSO","0.316136114"
7,"E02","PHX2481",3,3,"albendazole","0.155049303"
7,"B04","ECA2688",5,1,"albendazole","0.113523459"
7,"D04","N2",7,7,"DMSO","0.107071713"
6,"G03","ECA2690",7,1,"DMSO","0.01814059"
3,"C03","PHX2481",3,1,"albendazole","0.079123984"
5,"B05","ECA2687",2,3,"albendazole","0.003080082"
1,"E09","ECA2687",4,3,"albendazole","0.003554783"
7,"H01","ECA2688",9,3,"DMSO","0.065500224"
1,"H09","ECA882",8,7,"DMSO","0.196716671"
6,"H10","ECA882",8,1,"albendazole","0.528795812"
6,"B10","PHX2481",8,7,"albendazole","0.037442015"
3,"G08","N2",5,5,"albendazole","0.474482759"
9,"A05","ECA882",6,7,"DMSO","0.381865094"
1,"D09","ECA2687",7,3,"albendazole","0.006609915"
6,"A08","PHX2647",7,1,"albendazole","0.230142566"
2,"B03","PHX2481",4,5,"DMSO","0.173777315"
7,"B10","ECA2689",8,7,"DMSO","6.70331E-05"
6,"F09","ECA2687",4,5,"albendazole","0.000289289"
5,"C02","ECA882",7,7,"DMSO","0.242265588"
3,"H10","PHX2502",2,1,"albendazole","0.04618237"
7,"B05","ECA2688",1,5,"albendazole","0.029035013"
6,"E08","N2",2,5,"DMSO","0.614079729"
9,"F06","ECA882",1,3,"albendazole","0.923380282"
7,"D02","ECA2690",1,1,"albendazole","0.008397187"
7,"F02","ECA2689",4,7,"DMSO","0.000456204"
5,"E03","ECA882",6,1,"DMSO","0.410104987"
1,"D11","ECA2688",2,7,"DMSO","0.017634292"
4,"G06","ECA882",4,3,"DMSO","0.386799693"
7,"H03","ECA2687",10,3,"DMSO","0.003239991"
5,"A04","PHX2502",6,1,"DMSO","0.065084075"
5,"H01","ECA2687",2,5,"DMSO","0"
9,"H04","ECA2687",1,1,"albendazole","0.068586218"
3,"D03","ECA2690",5,5,"DMSO","0.00060965"
1,"D02","ECA2688",3,1,"albendazole","0.187234043"
2,"A03","N2",5,7,"DMSO","0.636876764"
7,"A02","PHX2502",10,1,"albendazole","0.039285714"
4,"F12","ECA882",5,5,"albendazole","0.99971115"
3,"F06","ECA2687",7,5,"DMSO","0.000211521"
4,"E05","PHX2647",7,5,"DMSO","0.090277778"
3,"B02","ECA2688",9,5,"DMSO","0.01077105"
8,"E05","ECA882",3,7,"DMSO","0.388477801"
5,"A06","PHX2502",2,5,"DMSO","0.000609385"
9,"A03","PHX2481",9,7,"albendazole","0.136756908"
4,"E07","ECA2689",3,3,"DMSO","0.001534247"
3,"A10","ECA2687",2,1,"DMSO","0.019874038"
6,"F04","ECA2688",4,7,"DMSO","0.002980491"
7,"G03","PHX2481",2,1,"albendazole","0.175692308"
6,"F11","ECA882",10,1,"DMSO","0.565824825"
1,"E01","PHX2502",1,1,"albendazole","0.030605274"
7,"E03","PHX2502",8,3,"albendazole","0.005130975"
1,"G07","ECA2689",4,1,"DMSO","0.028378904"
1,"H04","PHX2647",9,3,"albendazole","0.103841146"
7,"H02","ECA2687",8,5,"albendazole","0.000315433"
4,"A08","PHX2647",10,5,"albendazole","0.126727013"
5,"F08","PHX2481",6,1,"DMSO","0.040189873"
7,"H04","ECA2689",6,3,"DMSO","0.003610419"
6,"H04","N2",9,3,"DMSO","0.513141933"
5,"F10","N2",7,1,"DMSO","0.086387435"
4,"D08","ECA2689",6,1,"albendazole","0"
5,"B07","ECA2687",2,7,"albendazole","0.000638434"
4,"F09","PHX2502",3,3,"albendazole","0.000768808"
5,"F07","N2",3,3,"albendazole","0.292758089"
8,"D01","ECA2689",8,5,"DMSO","0.00141203"
5,"F04","PHX2481",7,7,"albendazole","0.144303797"
7,"D06","ECA882",10,7,"albendazole","0.999742511"
4,"G09","PHX2502",5,7,"albendazole","7.13114E-05"
3,"B08","ECA2689",8,3,"albendazole","0.002344307"
9,"H03","ECA2690",4,3,"albendazole","0.015304317"
5,"C04","PHX2502",9,5,"DMSO","0.001207472"
4,"D03","PHX2481",6,7,"DMSO","0.027815078"
9,"D05","ECA882",9,1,"DMSO","0.340616465"
9,"H05","PHX2481",7,5,"albendazole","0.140791153"
2,"H03","ECA882",8,5,"albendazole","0.985033865"
9,"B06","PHX2647",1,7,"DMSO","0.127667907"
4,"G08","PHX2481",4,1,"albendazole","0.069433962"
5,"F01","ECA2688",5,5,"DMSO","0.118152319"
3,"D02","PHX2647",5,5,"DMSO","0.03440425"
1,"F07","PHX2481",6,5,"albendazole","0.119254259"
5,"G08","ECA882",10,3,"albendazole","0.97421981"
6,"G05","ECA2689",3,7,"DMSO","0"
8,"G01","ECA2687",5,5,"albendazole","9.60984E-05"
1,"F08","ECA2688",10,3,"albendazole","0.20783236"
2,"F03","ECA2689",8,1,"albendazole","0.014917951"
8,"H07","ECA2687",1,3,"DMSO","0.001846381"
9,"E03","ECA2688",6,5,"DMSO","0.152380952"
9,"C06","ECA2688",10,1,"DMSO","0.387035272"
6,"C09","N2",2,7,"DMSO","0.668127054"
3,"C02","ECA2688",6,7,"DMSO","0.030379747"
7,"A11","ECA2689",10,5,"albendazole","0.000699953"
4,"G05","PHX2481",2,7,"DMSO","0.069166667"
7,"E11","ECA2687",7,3,"DMSO","0.00289677"
6,"F10","ECA2689",2,7,"albendazole","0"
9,"E06","ECA882",7,3,"albendazole","0.91647114"
7,"C07","N2",1,1,"albendazole","0.46124031"
3,"B05","ECA2688",5,1,"DMSO","0.230602279"
1,"C09","ECA882",2,7,"DMSO","0.205663616"
7,"B02","ECA2688",5,7,"DMSO","0.025184431"
1,"H01","PHX2481",2,7,"albendazole","0.275161588"
9,"C03","ECA2687",4,7,"DMSO","0.000142898"
9,"E02","ECA2690",1,7,"DMSO","0"
8,"D08","PHX2502",10,7,"DMSO","0"
3,"H05","ECA2687",1,7,"albendazole","0.000138284"
6,"A03","ECA2687",3,7,"albendazole","6.56125E-05"
7,"G06","ECA2690",9,3,"albendazole","0.000680118"
6,"A09","ECA2690",2,3,"DMSO","0.001055358"
6,"E03","ECA2688",8,3,"DMSO","0.129669157"
7,"B03","ECA882",2,3,"DMSO","0.181398924"
1,"D01","ECA2689",1,7,"albendazole","0.000460405"
1,"D04","ECA882",1,1,"albendazole","0.648046497"
7,"F10","N2",8,5,"albendazole","0.288059701"
4,"D12","ECA2690",8,5,"albendazole","0.000132459"
7,"A06","PHX2481",9,1,"DMSO","0.120020171"
8,"H05","ECA2690",7,7,"DMSO","0.000396668"
7,"F01","ECA2687",8,5,"DMSO","0.000422922"
3,"A03","ECA2689",4,1,"albendazole","0.013412352"
8,"F07","ECA2687",9,3,"albendazole","0.000250167"
3,"E03","PHX2647",1,1,"DMSO","0.438148444"
4,"D09","PHX2481",6,7,"albendazole","0.036789298"
7,"F03","ECA2690",1,5,"albendazole","0.000402199"
1,"C08","ECA2689",10,1,"albendazole","0.02504985"
3,"A05","ECA882",10,7,"DMSO","0.645781638"
4,"A12","ECA882",3,5,"albendazole","0.997320403"
7,"F07","ECA2688",7,1,"albendazole","0.255836576"
1,"D07","PHX2481",8,7,"DMSO","0.120965397"
3,"G02","N2",7,1,"albendazole","0.163498099"
6,"G11","PHX2647",7,3,"DMSO","0.147731835"
5,"E10","ECA882",4,5,"albendazole","0.999413195"
2,"D03","ECA2690",6,7,"DMSO","0.000527287"
5,"F05","PHX2502",2,1,"DMSO","0.032061822"
9,"G02","PHX2502",1,5,"albendazole","0.003993787"
3,"F03","N2",7,5,"DMSO","0.100971548"
8,"E01","ECA2690",4,5,"albendazole","0"
9,"C04","ECA882",1,7,"albendazole","0.971795762"
5,"H04","ECA2689",3,7,"albendazole","0.000898721"
3,"F10","PHX2502",5,5,"DMSO","0.002134251"
5,"A08","ECA2689",3,3,"albendazole","0.005522186"
2,"E06","PHX2481",3,5,"DMSO","0.228355388"
2,"A11","ECA2687",6,1,"albendazole","0.009607094"
4,"C12","PHX2481",1,1,"albendazole","0.274092616"
7,"G08","PHX2502",2,3,"DMSO","0.001256808"
1,"A09","ECA2688",5,3,"albendazole","0.04599816"
9,"D03","ECA2688",2,1,"DMSO","0.397857017"
7,"A08","ECA2689",7,7,"albendazole","0.000329598"
3,"G10","N2",2,5,"albendazole","0.316404128"
9,"G03","ECA2690",10,7,"DMSO","0.000693241"
5,"D04","PHX2502",5,1,"DMSO","0.06162892"
4,"D06","PHX2647",6,3,"albendazole","0.058452722"
7,"H06","PHX2647",2,7,"DMSO","0.005617978"
9,"G06","ECA2690",5,1,"albendazole","0.036006373"
3,"A02","ECA2687",8,7,"albendazole","6.88658E-05"
2,"C06","PHX2502",2,3,"albendazole","0.000980305"
8,"C03","PHX2502",5,7,"DMSO","0"
1,"G05","ECA2688",9,7,"albendazole","0.041603758"
3,"F05","PHX2647",4,1,"albendazole","0.382406398"
7,"B09","ECA2687",7,5,"albendazole","8.23655E-05"
1,"B07","PHX2647",3,5,"albendazole","0.298627926"
6,"B05","ECA882",2,5,"DMSO","0.155457552"
1,"F01","PHX2502",4,7,"DMSO","0"
3,"H08","ECA2690",8,1,"DMSO","0.020575112"
6,"H03","N2",5,3,"DMSO","0.482776895"
4,"C07","ECA2689",5,1,"albendazole","0.043273631"
5,"C03","ECA2690",2,1,"DMSO","0.019271645"
3,"H02","PHX2647",5,5,"albendazole","0.096009975"
4,"E06","ECA2689",5,5,"albendazole","0.000650437"
2,"C02","ECA882",4,5,"DMSO","0.472097498"
1,"A10","ECA2688",10,3,"DMSO","0.320496499"
4,"G11","ECA2689",1,3,"DMSO","0.000521785"
6,"H08","PHX2481",5,1,"albendazole","0.231884058"
1,"D05","ECA882",7,5,"DMSO","0.43546748"
6,"C08","ECA2687",3,7,"DMSO","0.000129116"
8,"G05","PHX2502",6,3,"DMSO","0.003761112"
6,"B11","ECA2689",7,3,"DMSO","0.000471507"
6,"A05","ECA2687",6,7,"DMSO","0"
7,"A03","ECA2689",9,5,"DMSO","0.001473167"
7,"F04","PHX2502",9,7,"albendazole","6.94348E-05"
8,"E10","PHX2481",8,1,"albendazole","0.15199213"
9,"F01","PHX2647",2,5,"DMSO","0.022166362"
8,"E07","N2",4,5,"DMSO","0.157817109"
1,"E07","ECA882",3,3,"albendazole","0.956254051"
6,"C07","PHX2647",3,5,"DMSO","0.032054176"
2,"D06","PHX2647",4,1,"DMSO","0.226804124"
6,"C06","ECA2687",3,5,"DMSO","7.00722E-05"
5,"H05","ECA2689",4,5,"albendazole","0.001850534"
8,"B11","ECA2687",7,1,"albendazole","6.46998E-05"
7,"D05","ECA2690",2,7,"albendazole","0"
4,"H11","ECA2688",2,5,"DMSO","0.011344178"
2,"A08","N2",6,5,"DMSO","0.4"
6,"C11","PHX2502",3,3,"DMSO","0.002781641"
9,"E01","ECA2689",6,1,"DMSO","0.02576186"
1,"C07","PHX2647",5,7,"DMSO","0.013340668"
8,"G12","ECA2690",2,5,"DMSO","0.000517025"
7,"C11","PHX2647",1,1,"albendazole","0.184494603"
6,"E05","ECA2687",4,1,"albendazole","0.004296455"
1,"G01","ECA882",9,6,"albendazole","0.997961495"
5,"B04","ECA2688",7,7,"albendazole","0.057858568"
8,"C10","PHX2647",3,3,"albendazole","0.377961235"
3,"E02","ECA2690",9,1,"DMSO","0.02686513"
6,"H05","PHX2647",10,5,"DMSO","0.04907878"
5,"A07","N2",2,3,"DMSO","0.389347337"
9,"F04","PHX2502",4,5,"DMSO","0.001837485"
1,"D08","PHX2647",9,7,"DMSO","0.016366612"
2,"D02","ECA2688",5,3,"DMSO","0.212994498"
3,"G03","PHX2502",7,1,"DMSO","0.015856777"
7,"B07","ECA882",1,1,"DMSO","0.261670236"
8,"G11","ECA2690",3,5,"albendazole","0.000946202"
7,"D11","ECA2689",10,1,"DMSO","0.009343854"
6,"C05","ECA2688",6,3,"DMSO","0.247159091"
8,"D07","PHX2647",6,1,"DMSO","0.20026121"
5,"E04","ECA2688",9,1,"albendazole","0.269652651"
4,"D07","ECA2687",4,7,"albendazole","0"
