strain,condition,generation,replicate,allele_freq
ECA2690,DMSO,1,1,0.035033805
ECA2690,IVM,1,1,0.051763628
ECA2690,DMSO,3,1,0.008678979
ECA2690,IVM,3,1,0.999913345
ECA2690,DMSO,5,1,0.000324465
ECA2690,IVM,5,1,0.999272251
ECA2690,DMSO,7,1,6.12E-05
ECA2690,IVM,7,1,1
ECA2690,DMSO,1,2,0.042715349
ECA2690,IVM,1,2,0.056478405
ECA2690,DMSO,3,2,0.00024216
ECA2690,IVM,3,2,0.998788735
ECA2690,DMSO,5,2,0.000169033
ECA2690,IVM,5,2,1
ECA2690,DMSO,7,2,6.68E-05
ECA2690,IVM,7,2,1
ECA2690,DMSO,1,3,0.060879659
ECA2690,IVM,1,3,0.066608238
ECA2690,DMSO,3,3,0.006669282
ECA2690,IVM,3,3,0.997494217
ECA2690,DMSO,5,3,0.001311598
ECA2690,IVM,5,3,1
ECA2690,DMSO,7,3,0.000217644
ECA2690,IVM,7,3,1
ECA2690,DMSO,1,4,0.019546028
ECA2690,IVM,1,4,0.048579824
ECA2690,DMSO,3,4,0.009081101
ECA2690,IVM,3,4,0.994355672
ECA2690,DMSO,5,4,0.000781639
ECA2690,IVM,5,4,0.999931063
ECA2690,DMSO,7,4,0.000352014
ECA2690,IVM,7,4,1
ECA2690,DMSO,1,5,0.095541401
ECA2690,IVM,1,5,0.112032265
ECA2690,DMSO,3,5,0.012109087
ECA2690,IVM,3,5,0.998256625
ECA2690,DMSO,5,5,0
ECA2690,IVM,5,5,1
ECA2690,DMSO,7,5,0.000509276
ECA2690,IVM,7,5,1
ECA2690,DMSO,1,6,0.100387297
ECA2690,IVM,1,6,0.110466171
ECA2690,DMSO,3,6,0.005214368
ECA2690,IVM,3,6,0.997845859
ECA2690,DMSO,5,6,0.008490957
ECA2690,IVM,5,6,1
ECA2690,DMSO,7,6,0.001485788
ECA2690,IVM,7,6,1
ECA2690,DMSO,1,7,0.060515021
ECA2690,IVM,1,7,0.018562764
ECA2690,DMSO,3,7,0.049512879
ECA2690,IVM,3,7,0.996884441
ECA2690,DMSO,5,7,0.003406538
ECA2690,IVM,5,7,0.99977405
ECA2690,DMSO,7,7,0.001278084
ECA2690,IVM,7,7,1
ECA2690,DMSO,1,8,0.01460396
ECA2690,IVM,1,8,0.031208203
ECA2690,DMSO,3,8,0.002870539
ECA2690,IVM,3,8,0.991852384
ECA2690,DMSO,5,8,0.00205193
ECA2690,IVM,5,8,0.999836823
ECA2690,DMSO,7,8,0.000222173
ECA2690,IVM,7,8,1
ECA2690,DMSO,1,9,0.017540956
ECA2690,IVM,1,9,0.038617201
ECA2690,DMSO,3,9,0.010813267
ECA2690,IVM,3,9,0.994198808
ECA2690,DMSO,5,9,0.001055669
ECA2690,IVM,5,9,1
ECA2690,DMSO,7,9,0.001915136
ECA2690,IVM,7,9,1
ECA2690,DMSO,1,10,0.036289609
ECA2690,IVM,1,10,0.030969609
ECA2690,DMSO,3,10,0.009930487
ECA2690,IVM,3,10,0.979686295
ECA2690,DMSO,5,10,0.000512708
ECA2690,IVM,5,10,0.999099403
ECA2690,DMSO,7,10,0.000971503
ECA2690,IVM,7,10,1
