strain,condition,generation,replicate,allele_freq
ECA2689,DMSO,1,1,0.061412757
ECA2689,IVM,1,1,0.033625521
ECA2689,DMSO,3,1,0.005432937
ECA2689,IVM,3,1,0.006797825
ECA2689,DMSO,5,1,0
ECA2689,IVM,5,1,0.000321983
ECA2689,DMSO,7,1,0.001226325
ECA2689,IVM,7,1,0.000182665
ECA2689,DMSO,1,2,0.09039548
ECA2689,IVM,1,2,0.01412567
ECA2689,DMSO,3,2,0.003991788
ECA2689,IVM,3,2,0.001757469
ECA2689,DMSO,5,2,0.005309351
ECA2689,IVM,5,2,0.003004854
ECA2689,DMSO,7,2,0.002350374
ECA2689,IVM,7,2,0.000920876
ECA2689,DMSO,1,3,0.028985507
ECA2689,IVM,1,3,0.137614679
ECA2689,DMSO,3,3,0.005839023
ECA2689,IVM,3,3,0.000621568
ECA2689,DMSO,5,3,0.002172437
ECA2689,IVM,5,3,0.000812282
ECA2689,DMSO,7,3,6.94E-05
ECA2689,IVM,7,3,0
ECA2689,DMSO,1,4,0.054054054
ECA2689,IVM,1,4,0.012931034
ECA2689,DMSO,3,4,0.007647809
ECA2689,IVM,3,4,0.004864745
ECA2689,DMSO,5,4,0.003103448
ECA2689,IVM,5,4,6.34E-05
ECA2689,DMSO,7,4,0.004616418
ECA2689,IVM,7,4,NULL
ECA2689,DMSO,1,5,0.062754871
ECA2689,IVM,1,5,0.057001851
ECA2689,DMSO,3,5,0.001824034
ECA2689,IVM,3,5,0.003092204
ECA2689,DMSO,5,5,0.002293578
ECA2689,IVM,5,5,0.00045428
ECA2689,DMSO,7,5,0.006401724
ECA2689,IVM,7,5,0.000494968
ECA2689,DMSO,1,6,0.009423704
ECA2689,IVM,1,6,0.088570836
ECA2689,DMSO,3,6,0.009576537
ECA2689,IVM,3,6,0.007682235
ECA2689,DMSO,5,6,0.000334158
ECA2689,IVM,5,6,0.042450142
ECA2689,DMSO,7,6,6.99E-05
ECA2689,IVM,7,6,0.001560837
ECA2689,DMSO,1,7,0.125049
ECA2689,IVM,1,7,0.097576038
ECA2689,DMSO,3,7,0.012413927
ECA2689,IVM,3,7,0.004497354
ECA2689,DMSO,5,7,0.00407439
ECA2689,IVM,5,7,0.003662365
ECA2689,DMSO,7,7,0.001887056
ECA2689,IVM,7,7,0.003445065
ECA2689,DMSO,1,8,0.038899083
ECA2689,IVM,1,8,0.05919053
ECA2689,DMSO,3,8,0.00657999
ECA2689,IVM,3,8,0.000101864
ECA2689,DMSO,5,8,0.009030565
ECA2689,IVM,5,8,6.97E-05
ECA2689,DMSO,7,8,0.000187882
ECA2689,IVM,7,8,6.78E-05
ECA2689,DMSO,1,9,0.072327715
ECA2689,IVM,1,9,0.042754885
ECA2689,DMSO,3,9,0.006432592
ECA2689,IVM,3,9,0.003214953
ECA2689,DMSO,5,9,0.013663133
ECA2689,IVM,5,9,0.001000188
ECA2689,DMSO,7,9,0.000111894
ECA2689,IVM,7,9,0.002044154
ECA2689,DMSO,1,10,0.024070022
ECA2689,IVM,1,10,0.049958089
ECA2689,DMSO,3,10,0.001347255
ECA2689,IVM,3,10,0.002531308
ECA2689,DMSO,5,10,0.000132363
ECA2689,IVM,5,10,0.000270856
ECA2689,DMSO,7,10,0.000986777
ECA2689,IVM,7,10,0.000974002
