"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","diluent_concentration_perc","drug","concentration_um","drug_stock_prep_date","drug_prep_method","strain","bleach","well_censor","well_censor_reason","notes","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","assay_bleach","median_wormlength_um_reg","assay_bleach_coeff","assay_bleach_se","assay_bleach_tvalue","assay_bleach_pvalue","control_median_wormlength_um_reg","median_wormlength_um_reg_delta"
"BZMLA1B1_p021_A07","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A07",20230601,"p021_A07","m2x","20230601-BZMLA1B1-p021-m2x_A07.TIF",1.1401397515528,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",798.143967577962,720.415824692977,733.154330618051,782.3618410539,797.351351236457,41.4466834514538,826.70206472718,850.508671620674,872.017099437613,0.0519288313074988,24,"BZMLA1B1_1",351.212052369536,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,14.7836089622116
"BZMLA1B1_p021_A09","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A09",20230601,"p021_A09","m2x","20230601-BZMLA1B1-p021-m2x_A09.TIF",1.18232518232518,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",784.922662455198,718.763996915121,742.315189078283,760.557117335157,781.320891070044,35.6067721692451,808.134484355721,835.217111661827,851.721647887346,0.0453634146042732,22,"BZMLA1B1_1",335.181592203112,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,-1.24685120421242
"BZMLA1B1_p021_A10","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A10",20230601,"p021_A10","m2x","20230601-BZMLA1B1-p021-m2x_A10.TIF",1.3176116407426,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",795.900592331199,719.979530618051,741.148695054171,756.107390412005,795.08606287022,46.9100063332194,831.450925517361,858.249484658609,869.985180864975,0.0589395293648666,19,"BZMLA1B1_1",348.946764003289,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,12.5183205959647
"BZMLA1B1_p021_A11","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","A11",20230601,"p021_A11","m2x","20230601-BZMLA1B1-p021-m2x_A11.TIF",1.11868877166541,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",787.438060020873,686.805318600022,739.255291091203,757.63216227594,789.446566780695,45.2386389168983,814.690250355035,839.439967815076,877.649139615428,0.0574504093892784,22,"BZMLA1B1_1",343.307267913763,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,6.87882450643917
"BZMLA1B1_p021_B03","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","B03",20230601,"p021_B03","m2x","20230601-BZMLA1B1-p021-m2x_B03.TIF",1.17542441390461,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",793.262231164019,738.063037153202,764.95954347656,781.082908156126,795.972858206144,25.7835618205917,804.67526759208,812.16641224741,851.122259937567,0.032503201094999,16,"BZMLA1B1_1",349.833559339212,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,13.4051159318878
"BZMLA1B1_p021_B07","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","B07",20230601,"p021_B07","m2x","20230601-BZMLA1B1-p021-m2x_B07.TIF",1.32790028763183,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",770.910409759166,619.158803625919,677.164370964527,727.416863061666,797.365551603573,64.2739882342283,816.265281782223,837.371914367089,858.364969634725,0.0833741345564494,24,"BZMLA1B1_1",351.226252736641,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,14.7978093293168
"BZMLA1B1_p021_B09","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","B09",20230601,"p021_B09","m2x","20230601-BZMLA1B1-p021-m2x_B09.TIF",1.34008307372793,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",767.656201886336,643.3625658821,687.821673881365,737.717858770877,769.693546141808,56.5406102905702,812.266311088103,831.454508640039,834.225768934944,0.0736535576103402,23,"BZMLA1B1_1",323.554247274876,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,-12.8741961324483
"BZMLA1B1_p021_B10","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","B10",20230601,"p021_B10","m2x","20230601-BZMLA1B1-p021-m2x_B10.TIF",1.2739916550765,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",791.399109718552,732.532424664747,750.233501021228,768.447603140785,784.432439033582,35.9446717593583,819.267000358344,833.514096454094,857.590184458702,0.0454191460641665,15,"BZMLA1B1_1",338.29314016665,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,1.86469675932574
"BZMLA1B1_p021_G01","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","G01",20230601,"p021_G01","m2x","20230601-BZMLA1B1-p021-m2x_G01.TIF",1.29545454545455,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0.25,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",166.181502469859,142.565404207765,147.924242618335,154.9410185766,168.349894628542,15.0174243824217,172.773813786989,184.848170417268,195.264604207765,0.0903676050536696,17,"BZMLA1B1_1",-277.78940423839,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,-614.217847645714
"BZMLA1B1_p021_G02","BZMLA1B1_1_N2_ivermectin_25","BZMLA1B1","p021","G02",20230601,"p021_G02","m2x","20230601-BZMLA1B1-p021-m2x_G02.TIF",1.11646586345382,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_25",0.25,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_25/Analysis-20231227/processed_images","ivermectin_25_N2","worm",159.966939118185,123.134237735047,126.954164337112,148.694692379198,160.398199418153,24.6226763779105,171.4095185766,188.258219897115,201.852004207765,0.153923532660203,10,"BZMLA1B1_1",-285.741099448779,446.139298866932,6.82061810682861,65.4103912400946,0,336.428443407324,-622.169542856103
