"well.id","flag_id","Metadata_Experiment","Metadata_Plate","Metadata_Well","Metadata_Date","Metadata_Group","Metadata_Magnification","FileName_RawBF","wo_po_area_frac","assay_type","food_conc_OD","food_type","diluent","diluent_concentration_perc","drug","concentration_um","drug_stock_prep_date","drug_prep_method","strain","bleach","well_censor","well_censor_reason","...24","i.dir","w.lab","gbm2x_class","mean_wormlength_um","min_wormlength_um","q10_wormlength_um","q25_wormlength_um","median_wormlength_um","sd_wormlength_um","q75_wormlength_um","q90_wormlength_um","max_wormlength_um","cv_wormlength_um","n","...41","assay_bleach","median_wormlength_um_reg","assay_bleach_coeff","assay_bleach_se","assay_bleach_tvalue","assay_bleach_pvalue","control_median_wormlength_um_reg","median_wormlength_um_reg_delta"
"BZMLA1B1_p021_E03","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E03",20230601,"p021_E03","m2x","20230601-BZMLA1B1-p021-m2x_E03.TIF",1.03333333333333,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",155.124194104335,103.137961683106,126.544975761018,140.250951543209,156.704906602571,26.018492263721,168.291375615556,183.337061392183,208.673480259706,0.167726848890001,16,NA,"BZMLA1B1_1",-281.423261125396,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-625.862835671685
"BZMLA1B1_p021_E04","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E04",20230601,"p021_E04","m2x","20230601-BZMLA1B1-p021-m2x_E04.TIF",1.11475409836066,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",157.868638254593,145.0599185766,145.231619662735,146.482732799974,155.43600088448,13.087893930429,164.139970971406,174.009213729505,183.410802350806,0.0829036981323816,10,NA,"BZMLA1B1_1",-282.692166843487,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-627.131741389777
"BZMLA1B1_p021_E05","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E05",20230601,"p021_E05","m2x","20230601-BZMLA1B1-p021-m2x_E05.TIF",0.856521739130435,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",146.792643289707,102.572852103883,119.041352103883,129.322044919465,148.119542524659,24.8124049292936,167.833263786989,175.502404207765,176.30158983893,0.169030302699328,11,NA,"BZMLA1B1_1",-290.008625203308,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-634.448199749597
"BZMLA1B1_p021_E06","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E06",20230601,"p021_E06","m2x","20230601-BZMLA1B1-p021-m2x_E06.TIF",0.888888888888889,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",160.465842137993,124.498532945436,128.873056411867,144.212254207765,168.349894628542,22.0415028672802,176.279941305256,182.86156612361,193.666232945436,0.137359468991074,15,NA,"BZMLA1B1_1",-269.778273099425,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-614.217847645715
"BZMLA1B1_p021_E07","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E07",20230601,"p021_E07","m2x","20230601-BZMLA1B1-p021-m2x_E07.TIF",1.17333333333333,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",157.744244271032,140.167847314271,142.896437735047,146.823806602571,158.468794628542,14.037725389425,165.268622146809,172.039727602208,186.416765890871,0.0889904126410203,11,NA,"BZMLA1B1_1",-279.659373099425,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-624.098947645715
"BZMLA1B1_p021_E08","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E08",20230601,"p021_E08","m2x","20230601-BZMLA1B1-p021-m2x_E08.TIF",1.20622568093385,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",156.725334664421,127.227123366212,141.33352240829,150.283023366212,156.305313786989,13.9762066705878,167.550708997377,172.713477297979,181.2906185766,0.0891764353256199,17,NA,"BZMLA1B1_1",-281.822853940978,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-626.262428487268
"BZMLA1B1_p021_E09","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E09",20230601,"p021_E09","m2x","20230601-BZMLA1B1-p021-m2x_E09.TIF",1.19196428571429,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",163.936302083564,144.260732945436,145.625028155824,152.329466181795,164.491085049318,16.3739052872248,171.244001812959,183.454099418153,197.428085049318,0.0998796793578914,11,NA,"BZMLA1B1_1",-273.637082678649,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-618.076657224938
"BZMLA1B1_p021_E10","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E10",20230601,"p021_E10","m2x","20230601-BZMLA1B1-p021-m2x_E10.TIF",1.1510067114094,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",161.558999095191,102.572852103883,132.58553251656,145.625028155824,166.186413786989,23.0882099182227,179.030180259707,184.413122175551,193.900308997377,0.142908844741103,25,NA,"BZMLA1B1_1",-271.941753940978,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-616.381328487268
"BZMLA1B1_p021_E11","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E11",20230601,"p021_E11","m2x","20230601-BZMLA1B1-p021-m2x_E11.TIF",1.10480349344978,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",154.084695525441,102.179139471815,132.216152103883,141.7662185766,153.24568983893,21.4221003315025,169.545213233373,180.160399418153,184.253285049318,0.139028086199291,21,NA,"BZMLA1B1_1",-284.882477889037,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-629.322052435327
"BZMLA1B1_p021_E12","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","E12",20230601,"p021_E12","m2x","20230601-BZMLA1B1-p021-m2x_E12.TIF",1.07692307692308,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",159.629072273622,127.792232945436,135.860966181795,143.543521704569,161.740846094868,19.5330163313012,172.622841963985,184.221945496925,188.677204207765,0.122365030712071,16,NA,"BZMLA1B1_1",-276.387321633099,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-620.826896179389
"BZMLA1B1_p021_F01","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F01",20230601,"p021_F01","m2x","20230601-BZMLA1B1-p021-m2x_F01.TIF",1.14285714285714,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",161.224230520175,135.700631088476,144.966288155824,150.517099418153,157.50063239182,15.984151859111,168.915004207765,181.66375632294,194.134385049318,0.0991423671711109,17,NA,"BZMLA1B1_1",-280.627535336147,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-625.067109882437
"BZMLA1B1_p021_F02","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F02",20230601,"p021_F02","m2x","20230601-BZMLA1B1-p021-m2x_F02.TIF",1.11920529801324,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",167.606867165836,121.438908997377,151.138719955299,159.175181602571,172.608297023348,19.2585745709341,180.71581456918,188.209741159444,196.394823366212,0.114903254840263,22,NA,"BZMLA1B1_1",-265.519870704619,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-609.959445250909
"BZMLA1B1_p021_F03","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F03",20230601,"p021_F03","m2x","20230601-BZMLA1B1-p021-m2x_F03.TIF",1.08045977011494,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",156.453332419216,114.617432945436,136.967777735047,142.565404207765,153.576723366212,22.1061057157441,178.421773613136,187.433963133474,194.764594074926,0.141295205246961,17,NA,"BZMLA1B1_1",-284.551444361755,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-628.991018908044
"BZMLA1B1_p021_F04","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F04",20230601,"p021_F04","m2x","20230601-BZMLA1B1-p021-m2x_F04.TIF",1.11333333333333,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",155.076033046714,106.100628155824,133.596237715754,138.381526763105,156.47083055063,23.9689334671724,178.713345825945,181.896863728804,184.253285049318,0.154562462014695,12,NA,"BZMLA1B1_1",-281.657337177337,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-626.096911723627
"BZMLA1B1_p021_F05","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F05",20230601,"p021_F05","m2x","20230601-BZMLA1B1-p021-m2x_F05.TIF",1.00684931506849,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",158.400604419257,133.080437181431,138.162540071669,151.164967379197,158.751349418153,14.4247686240269,165.056194628542,171.839330513088,186.747799418153,0.0910651110007585,14,NA,"BZMLA1B1_1",-279.376818309814,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-623.816392856103
"BZMLA1B1_p021_F06","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F06",20230601,"p021_F06","m2x","20230601-BZMLA1B1-p021-m2x_F06.TIF",1.1046511627907,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",141.661643262226,106.837134682203,110.4075092883,127.117870941358,141.483663786989,22.744961450254,157.528331602571,163.409344628542,184.253285049318,0.160558362351843,16,NA,"BZMLA1B1_1",-296.644503940978,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-641.084078487268
"BZMLA1B1_p021_F07","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F07",20230601,"p021_F07","m2x","20230601-BZMLA1B1-p021-m2x_F07.TIF",1.09059233449477,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",162.759746827171,123.699347314271,128.404157735047,154.375908997377,166.186413786989,21.5868008331806,176.866699418153,190.341782175551,196.06378983893,0.132629850156396,17,NA,"BZMLA1B1_1",-271.941753940978,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-616.381328487268
"BZMLA1B1_p021_F08","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F08",20230601,"p021_F08","m2x","20230601-BZMLA1B1-p021-m2x_F08.TIF",1.12295081967213,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",166.166675782722,130.286747314271,147.308997618678,151.6473185766,165.056194628542,18.8653488804142,178.562028155824,184.958840259706,200.32807241725,0.113532685128048,13,NA,"BZMLA1B1_1",-273.071973099425,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-617.511547645715
"BZMLA1B1_p021_F09","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F09",20230601,"p021_F09","m2x","20230601-BZMLA1B1-p021-m2x_F09.TIF",1.03614457831325,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",157.827940652812,121.618621779808,127.749433845173,138.837831748033,160.164123366212,25.4666578594626,175.926236392183,187.388811450367,199.922599418153,0.161357094023572,12,NA,"BZMLA1B1_1",-277.964044361755,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-622.403618908044
"BZMLA1B1_p021_F10","BZMLA1B1_1_N2_ivermectin_50","BZMLA1B1","p021","F10",20230601,"p021_F10","m2x","20230601-BZMLA1B1-p021-m2x_F10.TIF",1.08239700374532,"48h",10,"15h_HB101_OD100_20221214_ESAS","DMSO",1,"ivermectin_50",0.5,NA,NA,"N2",1,NA,NA,NA,"/projects/b1059/projects/Amanda/projects/cellprofiler-nf/projects/20231225_BZML_HTA_IVM_50/Analysis-20231227/processed_images","ivermectin_50_N2","worm",153.62644155196,120.222095704235,135.928209221316,148.097109999463,157.86767548421,15.2825798437792,165.506073025434,167.122028939192,168.349894628542,0.0994788376883044,10,NA,"BZMLA1B1_1",-280.260492243757,438.128167727968,6.96987126775732,62.8602955344028,0,344.43957454629,-624.700066790047
