strain,condition,generation,replicate,allele_freq
PHX2481,DMSO,1,1,0.416485041
PHX2481,IVM,1,1,0.349360614
PHX2481,DMSO,3,1,0.189682966
PHX2481,IVM,3,1,NULL
PHX2481,DMSO,5,1,0.150822894
PHX2481,IVM,5,1,0.045848476
PHX2481,DMSO,7,1,0.079814385
PHX2481,IVM,7,1,0.014467746
PHX2481,DMSO,1,2,0.407823252
PHX2481,IVM,1,2,0.257861635
PHX2481,DMSO,3,2,0.508964143
PHX2481,IVM,3,2,0.422563688
PHX2481,DMSO,5,2,0.421595225
PHX2481,IVM,5,2,0.215868109
PHX2481,DMSO,7,2,0.472727273
PHX2481,IVM,7,2,0.832817337
PHX2481,DMSO,1,3,0.430550745
PHX2481,IVM,1,3,0.517096581
PHX2481,DMSO,3,3,0.30307106
PHX2481,IVM,3,3,0.155168409
PHX2481,DMSO,5,3,0.135326913
PHX2481,IVM,5,3,0.016300874
PHX2481,DMSO,7,3,0.192880259
PHX2481,IVM,7,3,0.004210034
PHX2481,DMSO,1,4,0.449646162
PHX2481,IVM,1,4,0.361294017
PHX2481,DMSO,3,4,0.516294227
PHX2481,IVM,3,4,0.270124621
PHX2481,DMSO,5,4,0.603435583
PHX2481,IVM,5,4,0.078536585
PHX2481,DMSO,7,4,0.600477042
PHX2481,IVM,7,4,0.11841405
PHX2481,DMSO,1,5,0.499142141
PHX2481,IVM,1,5,0.456539735
PHX2481,DMSO,3,5,0.516788321
PHX2481,IVM,3,5,0.294196429
PHX2481,DMSO,5,5,0.462121212
PHX2481,IVM,5,5,0.099306158
PHX2481,DMSO,7,5,0.385323827
PHX2481,IVM,7,5,0.02189546
PHX2481,DMSO,1,6,0.521718377
PHX2481,IVM,1,6,0.365561044
PHX2481,DMSO,3,6,0.566576087
PHX2481,IVM,3,6,0.299557032
PHX2481,DMSO,5,6,0.523977901
PHX2481,IVM,5,6,0.091486184
PHX2481,DMSO,7,6,0.397563401
PHX2481,IVM,7,6,0.041272085
PHX2481,DMSO,1,7,NULL
PHX2481,IVM,1,7,0.653175387
PHX2481,DMSO,3,7,NULL
PHX2481,IVM,3,7,0.288461538
PHX2481,DMSO,5,7,0.394149727
PHX2481,IVM,5,7,0.058652095
PHX2481,DMSO,7,7,0.528163479
PHX2481,IVM,7,7,0.01184771
PHX2481,DMSO,1,8,0.623465211
PHX2481,IVM,1,8,0.599695586
PHX2481,DMSO,3,8,0.404184656
PHX2481,IVM,3,8,0.457508731
PHX2481,DMSO,5,8,0.687211982
PHX2481,IVM,5,8,0.143659181
PHX2481,DMSO,7,8,0.673543689
PHX2481,IVM,7,8,0.016233766
PHX2481,DMSO,1,9,0.450510605
PHX2481,IVM,1,9,0.306465155
PHX2481,DMSO,3,9,0.2908
PHX2481,IVM,3,9,0.403087479
PHX2481,DMSO,5,9,0.314548803
PHX2481,IVM,5,9,0.451311108
PHX2481,DMSO,7,9,0.05493925
PHX2481,IVM,7,9,0.204827916
PHX2481,DMSO,1,10,0.39787147
PHX2481,IVM,1,10,0.31316726
PHX2481,DMSO,3,10,0.239376771
PHX2481,IVM,3,10,0.239748578
PHX2481,DMSO,5,10,0.224400871
PHX2481,IVM,5,10,0.211692598
PHX2481,DMSO,7,10,0.161554192
PHX2481,IVM,7,10,0.330475782
