strain,condition,generation,replicate,allele_freq
ECA2688,DMSO,1,1,0.129840547
ECA2688,IVM,1,1,0.318299445
ECA2688,DMSO,3,1,0.261581331
ECA2688,IVM,3,1,0.000929368
ECA2688,DMSO,5,1,0.112859885
ECA2688,IVM,5,1,0.00034395
ECA2688,DMSO,7,1,0.052607432
ECA2688,IVM,7,1,0
ECA2688,DMSO,1,2,0.290151206
ECA2688,IVM,1,2,0.185905225
ECA2688,DMSO,3,2,0.162271805
ECA2688,IVM,3,2,0.005266238
ECA2688,DMSO,5,2,0.041791045
ECA2688,IVM,5,2,0
ECA2688,DMSO,7,2,0.024032416
ECA2688,IVM,7,2,0
ECA2688,DMSO,1,3,0.380212189
ECA2688,IVM,1,3,0.342038036
ECA2688,DMSO,3,3,0.390287237
ECA2688,IVM,3,3,0.005275605
ECA2688,DMSO,5,3,0.222763761
ECA2688,IVM,5,3,0
ECA2688,DMSO,7,3,0.006885593
ECA2688,IVM,7,3,0
ECA2688,DMSO,1,4,0.376205788
ECA2688,IVM,1,4,0.338461538
ECA2688,DMSO,3,4,0.067463706
ECA2688,IVM,3,4,0.007831073
ECA2688,DMSO,5,4,0.041748389
ECA2688,IVM,5,4,0.000328343
ECA2688,DMSO,7,4,0.025553967
ECA2688,IVM,7,4,0
ECA2688,DMSO,1,5,0.251512532
ECA2688,IVM,1,5,0.421553498
ECA2688,DMSO,3,5,0.576710582
ECA2688,IVM,3,5,0.003408957
ECA2688,DMSO,5,5,0.532927797
ECA2688,IVM,5,5,0.000271223
ECA2688,DMSO,7,5,0.21192053
ECA2688,IVM,7,5,0
ECA2688,DMSO,1,6,0.207521827
ECA2688,IVM,1,6,0.3502523
ECA2688,DMSO,3,6,0.219068736
ECA2688,IVM,3,6,0.002311757
ECA2688,DMSO,5,6,0.1453149
ECA2688,IVM,5,6,9.17E-05
ECA2688,DMSO,7,6,0.024878641
ECA2688,IVM,7,6,0
ECA2688,DMSO,1,7,0.595224396
ECA2688,IVM,1,7,0.468161683
ECA2688,DMSO,3,7,0.435483871
ECA2688,IVM,3,7,0.116030093
ECA2688,DMSO,5,7,0.005681818
ECA2688,IVM,5,7,0.001114284
ECA2688,DMSO,7,7,0.014558473
ECA2688,IVM,7,7,0
ECA2688,DMSO,1,8,0.362197671
ECA2688,IVM,1,8,0.323428214
ECA2688,DMSO,3,8,0.470346246
ECA2688,IVM,3,8,0.001329002
ECA2688,DMSO,5,8,0.3040502
ECA2688,IVM,5,8,6.89E-05
ECA2688,DMSO,7,8,0.166601715
ECA2688,IVM,7,8,0
ECA2688,DMSO,1,9,0.53491298
ECA2688,IVM,1,9,0.415177479
ECA2688,DMSO,3,9,0.451150895
ECA2688,IVM,3,9,0.005194042
ECA2688,DMSO,5,9,0.332865497
ECA2688,IVM,5,9,0.000328515
ECA2688,DMSO,7,9,0.034070315
ECA2688,IVM,7,9,0
ECA2688,DMSO,1,10,0.393292683
ECA2688,IVM,1,10,0.389224138
ECA2688,DMSO,3,10,0.378783338
ECA2688,IVM,3,10,0.00116144
ECA2688,DMSO,5,10,0.354667844
ECA2688,IVM,5,10,0
ECA2688,DMSO,7,10,0.052835505
ECA2688,IVM,7,10,0
