strain,condition,generation,replicate,allele_freq
PHX2502,DMSO,1,1,0.017402377
PHX2502,IVM,1,1,0.058526316
PHX2502,DMSO,3,1,0.005839984
PHX2502,IVM,3,1,0.002592913
PHX2502,DMSO,5,1,0.000598802
PHX2502,IVM,5,1,0.000882471
PHX2502,DMSO,7,1,0.000803154
PHX2502,IVM,7,1,0.004510166
PHX2502,DMSO,1,2,0.077779624
PHX2502,IVM,1,2,0.011434172
PHX2502,DMSO,3,2,0.002942138
PHX2502,IVM,3,2,0.0001276
PHX2502,DMSO,5,2,0.003396695
PHX2502,IVM,5,2,0.000775976
PHX2502,DMSO,7,2,0.000130285
PHX2502,IVM,7,2,0
PHX2502,DMSO,1,3,0.059528198
PHX2502,IVM,1,3,0.089638369
PHX2502,DMSO,3,3,NULL
PHX2502,IVM,3,3,0.000187776
PHX2502,DMSO,5,3,0.003061485
PHX2502,IVM,5,3,0.001642486
PHX2502,DMSO,7,3,0.00014498
PHX2502,IVM,7,3,0.001914389
PHX2502,DMSO,1,4,0.042767296
PHX2502,IVM,1,4,0.057709648
PHX2502,DMSO,3,4,0.008214356
PHX2502,IVM,3,4,0.001994416
PHX2502,DMSO,5,4,0.001419287
PHX2502,IVM,5,4,0.000204694
PHX2502,DMSO,7,4,0.000948467
PHX2502,IVM,7,4,0.000617208
PHX2502,DMSO,1,5,0.045427729
PHX2502,IVM,1,5,0.083169515
PHX2502,DMSO,3,5,0.003376667
PHX2502,IVM,3,5,0.005015045
PHX2502,DMSO,5,5,0.002503941
PHX2502,IVM,5,5,0.000159579
PHX2502,DMSO,7,5,0.002020045
PHX2502,IVM,7,5,0.000339282
PHX2502,DMSO,1,6,0.114849785
PHX2502,IVM,1,6,0.038098507
PHX2502,DMSO,3,6,0.027170311
PHX2502,IVM,3,6,0.00923277
PHX2502,DMSO,5,6,0.00867052
PHX2502,IVM,5,6,0.000463929
PHX2502,DMSO,7,6,0.009817077
PHX2502,IVM,7,6,0.000865908
PHX2502,DMSO,1,7,0.030562585
PHX2502,IVM,1,7,0.048740287
PHX2502,DMSO,3,7,0.000103284
PHX2502,IVM,3,7,0.015267176
PHX2502,DMSO,5,7,0.001952172
PHX2502,IVM,5,7,0.013620267
PHX2502,DMSO,7,7,0.000669593
PHX2502,IVM,7,7,0.004396483
PHX2502,DMSO,1,8,0.070391061
PHX2502,IVM,1,8,0.047069767
PHX2502,DMSO,3,8,0.007800483
PHX2502,IVM,3,8,0.003266788
PHX2502,DMSO,5,8,0.001825617
PHX2502,IVM,5,8,0.002948074
PHX2502,DMSO,7,8,NULL
PHX2502,IVM,7,8,0.000225606
PHX2502,DMSO,1,9,0.051724138
PHX2502,IVM,1,9,0.097406233
PHX2502,DMSO,3,9,0.00582558
PHX2502,IVM,3,9,0.000987078
PHX2502,DMSO,5,9,0.00159775
PHX2502,IVM,5,9,0.000197122
PHX2502,DMSO,7,9,0.000353907
PHX2502,IVM,7,9,0.003120596
PHX2502,DMSO,1,10,0.10034338
PHX2502,IVM,1,10,0.061992525
PHX2502,DMSO,3,10,0.013343037
PHX2502,IVM,3,10,0.00178778
PHX2502,DMSO,5,10,0.002430439
PHX2502,IVM,5,10,0.000124409
PHX2502,DMSO,7,10,0.005819521
PHX2502,IVM,7,10,0
