replicate,strain,condition,generation,allele_freq
1,ECA2687,DMSO,0,0.5
1,ECA2687,DMSO,1,0.048656352
1,ECA2687,DMSO,5,0.002067654
1,ECA2687,DMSO,7,0.000673968
2,ECA2687,DMSO,0,0.5
2,ECA2687,DMSO,1,0.02417962
2,ECA2687,DMSO,3,0.062338538
2,ECA2687,DMSO,5,0.000561561
2,ECA2687,DMSO,7,0.000221615
3,ECA2687,DMSO,0,0.5
3,ECA2687,DMSO,3,0.00673882
3,ECA2687,DMSO,5,0.001757651
3,ECA2687,DMSO,7,0.000960692
4,ECA2687,DMSO,0,0.5
4,ECA2687,DMSO,1,0.051307351
4,ECA2687,DMSO,3,0.003641374
4,ECA2687,DMSO,5,0.003847598
4,ECA2687,DMSO,7,0.000117275
5,ECA2687,DMSO,0,0.5
5,ECA2687,DMSO,1,0.064490759
5,ECA2687,DMSO,3,0.008734735
5,ECA2687,DMSO,5,0.011439213
5,ECA2687,DMSO,7,0
6,ECA2687,DMSO,0,0.5
6,ECA2687,DMSO,1,0.036479321
6,ECA2687,DMSO,3,0.010240533
6,ECA2687,DMSO,5,0.001672101
6,ECA2687,DMSO,7,0.000263435
7,ECA2687,DMSO,0,0.5
7,ECA2687,DMSO,1,0.059531773
7,ECA2687,DMSO,3,0.007309389
7,ECA2687,DMSO,3,0.00050813
7,ECA2687,DMSO,5,0.003777594
7,ECA2687,DMSO,7,0.002068338
8,ECA2687,DMSO,0,0.5
8,ECA2687,DMSO,3,0.014354926
8,ECA2687,DMSO,5,0.000669165
8,ECA2687,DMSO,7,7.37463E-05
9,ECA2687,DMSO,0,0.5
9,ECA2687,DMSO,1,0.117974295
9,ECA2687,DMSO,3,0.027174506
9,ECA2687,DMSO,5,0.000431081
9,ECA2687,DMSO,7,0.000878735
10,ECA2687,DMSO,0,0.5
10,ECA2687,DMSO,3,0.005156435
10,ECA2687,DMSO,5,0.002208796
10,ECA2687,DMSO,7,0.00046307
1,ECA2687,Ivermectin,0,0.5
1,ECA2687,Ivermectin,1,0.105294646
1,ECA2687,Ivermectin,3,0.998666159
1,ECA2687,Ivermectin,5,0.999717354
1,ECA2687,Ivermectin,7,0.999820553
2,ECA2687,Ivermectin,0,0.5
2,ECA2687,Ivermectin,1,0.04515778
2,ECA2687,Ivermectin,3,0.999511002
2,ECA2687,Ivermectin,5,0.99987168
2,ECA2687,Ivermectin,7,1
3,ECA2687,Ivermectin,0,0.5
3,ECA2687,Ivermectin,1,0.031815528
3,ECA2687,Ivermectin,3,0.073654391
3,ECA2687,Ivermectin,5,0.67881016
3,ECA2687,Ivermectin,7,0.982945531
4,ECA2687,Ivermectin,0,0.5
4,ECA2687,Ivermectin,1,0.063122299
4,ECA2687,Ivermectin,3,0.987378084
4,ECA2687,Ivermectin,5,0.99973176
4,ECA2687,Ivermectin,7,1
5,ECA2687,Ivermectin,0,0.5
5,ECA2687,Ivermectin,1,0.105573521
5,ECA2687,Ivermectin,3,0.99778424
5,ECA2687,Ivermectin,5,0.999685257
5,ECA2687,Ivermectin,7,1
6,ECA2687,Ivermectin,0,0.5
6,ECA2687,Ivermectin,1,0.092098378
6,ECA2687,Ivermectin,3,0.988071777
6,ECA2687,Ivermectin,5,0.999937648
6,ECA2687,Ivermectin,7,1
7,ECA2687,Ivermectin,0,0.5
7,ECA2687,Ivermectin,1,0.082450153
7,ECA2687,Ivermectin,1,0.811283274
7,ECA2687,Ivermectin,3,0.993597132
7,ECA2687,Ivermectin,5,1
7,ECA2687,Ivermectin,7,1
8,ECA2687,Ivermectin,0,0.5
8,ECA2687,Ivermectin,1,0.038291605
8,ECA2687,Ivermectin,3,0.98920586
8,ECA2687,Ivermectin,5,0.999830719
8,ECA2687,Ivermectin,7,1
8,ECA2687,Ivermectin,7,1
9,ECA2687,Ivermectin,0,0.5
