sample,total_offspring_1,total_offspring_2,total_offspring_3,total_offspring_4,date_starved,condition,strain,set,date_mother_on_plate,days_to_starvation,replicate,avg_total_offspring,mean.x,sd.x,lifetime_mean,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,group1,group2
IVM.F.S5.R1,20,22,18,21,7/15/23,ivermectin,ECA2687,5,7/7/23,8,1,20.25,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R2,29,24,17,27,7/15/23,ivermectin,ECA2687,5,7/7/23,8,2,24.25,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R3,26,21,19,26,7/15/23,ivermectin,ECA2687,5,7/7/23,8,3,23,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R4,24,21,15,25,7/15/23,ivermectin,ECA2687,5,7/7/23,8,4,21.25,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R5,8,10,6,10,7/16/23,ivermectin,ECA2687,5,7/7/23,9,5,8.5,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R6,24,27,24,28,7/15/23,ivermectin,ECA2687,5,7/7/23,8,6,25.75,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R7,22,24,17,22,7/15/23,ivermectin,ECA2687,5,7/7/23,8,7,21.25,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R8,25,28,19,27,7/15/23,ivermectin,ECA2687,5,7/7/23,8,8,24.75,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R9,23,21,15,23,7/15/23,ivermectin,ECA2687,5,7/7/23,8,9,20.5,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.F.S5.R10,38,36,27,42,7/14/23,ivermectin,ECA2687,5,7/7/23,7,10,35.75,22.525,6.688973098,177.2,0,-21.66388889,-30.86312465,-12.46465312,3.54e-09,****,ECA2687,N2
IVM.G.S5.R1,1,1,1,1,7/17/23,ivermectin,ECA2688,5,7/7/23,10,1,1,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R2,4,4,4,4,7/16/23,ivermectin,ECA2688,5,7/7/23,9,2,4,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R3,0,0,0,0,7/27/23,ivermectin,ECA2688,5,7/7/23,20,3,0,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R4,18,16,15,18,7/15/23,ivermectin,ECA2688,5,7/7/23,8,4,16.75,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R5,2,3,2,3,7/16/23,ivermectin,ECA2688,5,7/7/23,9,5,2.5,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R6,0,1,0,1,7/27/23,ivermectin,ECA2688,5,7/7/23,20,6,0.5,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R7,11,10,10,12,7/15/23,ivermectin,ECA2688,5,7/7/23,8,7,10.75,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R8,5,5,4,5,7/15/23,ivermectin,ECA2688,5,7/7/23,8,8,4.75,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R9,3,3,2,3,7/17/23,ivermectin,ECA2688,5,7/7/23,10,9,2.75,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.G.S5.R10,9,5,9,9,7/16/23,ivermectin,ECA2688,5,7/7/23,9,10,8,5.1,5.30879773,268.225,0,-4.238888889,-13.43812465,4.960346875,0.865,ns,ECA2688,N2
IVM.H.S5.R1,0,0,0,0,NA,ivermectin,ECA2689,5,7/7/23,06/23/1776,1,0,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.H.S5.R2,3,4,2,3,7/18/23,ivermectin,ECA2689,5,7/7/23,11,2,3,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.H.S5.R4,11,11,9,10,7/17/23,ivermectin,ECA2689,5,7/7/23,10,4,10.25,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.H.S5.R5,14,13,10,13,7/17/23,ivermectin,ECA2689,5,7/7/23,10,5,12.5,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.H.S5.R6,0,0,0,0,NA,ivermectin,ECA2689,5,7/7/23,06/23/1776,6,0,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.H.S5.R7,0,0,0,0,NA,ivermectin,ECA2689,5,7/7/23,06/23/1776,7,0,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.H.S5.R8,0,2,0,1,7/20/23,ivermectin,ECA2689,5,7/7/23,13,8,0.75,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.H.S5.R9,13,14,13,14,7/17/23,ivermectin,ECA2689,5,7/7/23,10,9,13.5,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.H.S5.R10,15,16,13,18,7/16/23,ivermectin,ECA2689,5,7/7/23,9,10,15.5,5.55,6.543444557,83.7,0,-5.305555556,-14.74377231,4.132661194,0.684,ns,ECA2689,N2
IVM.I.S5.R1,31,27,28,34,7/15/23,ivermectin,ECA2690,5,7/7/23,8,1,30,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
IVM.I.S5.R3,27,23,22,24,7/15/23,ivermectin,ECA2690,5,7/7/23,8,3,24,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
IVM.I.S5.R4,22,20,14,22,7/15/23,ivermectin,ECA2690,5,7/7/23,8,4,19.5,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
IVM.I.S5.R5,25,25,19,26,7/15/23,ivermectin,ECA2690,5,7/7/23,8,5,23.75,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
IVM.I.S5.R6,33,36,29,40,7/15/23,ivermectin,ECA2690,5,7/7/23,8,6,34.5,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
IVM.I.S5.R7,39,43,35,47,7/14/23,ivermectin,ECA2690,5,7/7/23,7,7,41,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
IVM.I.S5.R8,3,5,2,6,7/17/23,ivermectin,ECA2690,5,7/7/23,10,8,4,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
IVM.I.S5.R9,24,27,14,30,7/15/23,ivermectin,ECA2690,5,7/7/23,8,9,23.75,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
IVM.I.S5.R10,31,29,25,30,7/15/23,ivermectin,ECA2690,5,7/7/23,8,10,28.75,25.275,9.787641016,168.65,0,-24.61111111,-34.04932786,-15.17289436,1.25e-11,****,ECA2690,N2
