sample,total_offspring_1,total_offspring_2,total_offspring_3,total_offspring_4,date_starved,condition,strain,set,date_mother_on_plate,days_to_starvation,replicate,avg_total_offspring,mean.x,sd.x,lifetime_mean,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,group1,group2
ABZ.H.S5.R7,4,5,5,8,7/17/23,albendazole,ECA2689,5,7/7/23,10,7,5.5,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.H.S5.R8,15,17,15,21,7/16/23,albendazole,ECA2689,5,7/7/23,9,8,17,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.H.S5.R9,29,30,28,30,7/15/23,albendazole,ECA2689,5,7/7/23,8,9,29.25,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.H.S5.R10,31,24,25,31,7/15/23,albendazole,ECA2689,5,7/7/23,8,10,27.75,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.I.S5.R1,9,12,9,16,7/16/23,albendazole,ECA2690,5,7/7/23,9,1,11.5,12.275,7.050856922,110.275,0,-8.6625,-19.95422219,2.629222186,0.272,ns,ECA2690,N2
ABZ.I.S5.R3,9,9,11,14,7/16/23,albendazole,ECA2690,5,7/7/23,9,3,10.75,12.275,7.050856922,110.275,0,-8.6625,-19.95422219,2.629222186,0.272,ns,ECA2690,N2
ABZ.I.S5.R5,16,17,6,22,7/16/23,albendazole,ECA2690,5,7/7/23,9,5,15.25,12.275,7.050856922,110.275,0,-8.6625,-19.95422219,2.629222186,0.272,ns,ECA2690,N2
ABZ.I.S5.R6,20,18,16,24,7/16/23,albendazole,ECA2690,5,7/7/23,9,6,19.5,12.275,7.050856922,110.275,0,-8.6625,-19.95422219,2.629222186,0.272,ns,ECA2690,N2
ABZ.I.S5.R7,14,17,11,20,7/16/23,albendazole,ECA2690,5,7/7/23,9,7,15.5,12.275,7.050856922,110.275,0,-8.6625,-19.95422219,2.629222186,0.272,ns,ECA2690,N2
ABZ.I.S5.R8,17,18,20,25,7/16/23,albendazole,ECA2690,5,7/7/23,9,8,20,12.275,7.050856922,110.275,0,-8.6625,-19.95422219,2.629222186,0.272,ns,ECA2690,N2
ABZ.I.S5.R9,18,17,16,23,7/16/23,albendazole,ECA2690,5,7/7/23,9,9,18.5,12.275,7.050856922,110.275,0,-8.6625,-19.95422219,2.629222186,0.272,ns,ECA2690,N2
ABZ.I.S5.R10,10,10,10,12,7/16/23,albendazole,ECA2690,5,7/7/23,9,10,10.5,12.275,7.050856922,110.275,0,-8.6625,-19.95422219,2.629222186,0.272,ns,ECA2690,N2
ABZ.B.S5.R1,1,1,0,1,7/16/23,albendazole,ECA882,5,7/7/23,9,1,0.75,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R2,1,2,1,3,7/16/23,albendazole,ECA882,5,7/7/23,9,2,1.75,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R3,5,6,5,7,7/15/23,albendazole,ECA882,5,7/7/23,8,3,5.75,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R4,0,0,0,1,7/19/23,albendazole,ECA882,5,7/7/23,12,4,0.25,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R5,2,3,2,3,7/16/23,albendazole,ECA882,5,7/7/23,9,5,2.5,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R6,0,0,0,0,7/27/23,albendazole,ECA882,5,7/7/23,20,6,0,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R7,25,29,30,33,7/14/23,albendazole,ECA882,5,7/7/23,7,7,29.25,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R8,0,0,0,4,7/27/23,albendazole,ECA882,5,7/7/23,20,8,1,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R9,1,2,1,2,7/16/23,albendazole,ECA882,5,7/7/23,9,9,1.5,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.B.S5.R10,0,1,1,1,7/18/23,albendazole,ECA882,5,7/7/23,11,10,0.75,4.35,8.901622823,218.275,0,2.175,-8.470937772,12.82093777,0.999,ns,ECA882,N2
ABZ.A.S5.R1,0,0,0,1,7/17/23,albendazole,N2,5,7/7/23,10,1,0.25,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R2,0,0,0,1,7/27/23,albendazole,N2,5,7/7/23,20,2,0.25,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R3,0,0,1,3,7/17/23,albendazole,N2,5,7/7/23,10,3,1,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R4,0,0,0,3,7/27/23,albendazole,N2,5,7/7/23,20,4,0.75,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R5,0,1,0,1,7/18/23,albendazole,N2,5,7/7/23,11,5,0.5,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R6,0,2,2,5,7/18/23,albendazole,N2,5,7/7/23,11,6,2.25,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R7,23,25,25,31,7/14/23,albendazole,N2,5,7/7/23,7,7,26,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R8,5,6,7,7,7/16/23,albendazole,N2,5,7/7/23,9,8,6.25,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R9,0,1,0,1,7/14/23,albendazole,N2,5,7/7/23,7,9,0.5,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.A.S5.R10,27,29,23,31,7/19/23,albendazole,N2,5,7/7/23,12,10,27.5,6.525,10.81565866,232.55,,,,,,,N2,N2
ABZ.E.S5.R3,0,0,0,3,7/27/23,albendazole,PHX2481,5,7/7/23,20,3,0.75,2.725,4.144021799,150.925,0,-4.096428571,-15.82768063,7.634823486,0.97,ns,PHX2481,N2
ABZ.E.S5.R5,2,0,0,3,7/27/23,albendazole,PHX2481,5,7/7/23,20,5,1.25,2.725,4.144021799,150.925,0,-4.096428571,-15.82768063,7.634823486,0.97,ns,PHX2481,N2
ABZ.E.S5.R6,1,1,1,2,7/17/23,albendazole,PHX2481,5,7/7/23,10,6,1.25,2.725,4.144021799,150.925,0,-4.096428571,-15.82768063,7.634823486,0.97,ns,PHX2481,N2
ABZ.E.S5.R7,1,1,2,3,7/18/23,albendazole,PHX2481,5,7/7/23,11,7,1.75,2.725,4.144021799,150.925,0,-4.096428571,-15.82768063,7.634823486,0.97,ns,PHX2481,N2
ABZ.E.S5.R8,11,10,11,13,7/14/23,albendazole,PHX2481,5,7/7/23,7,8,11.25,2.725,4.144021799,150.925,0,-4.096428571,-15.82768063,7.634823486,0.97,ns,PHX2481,N2
ABZ.E.S5.R9,0,1,0,0,7/16/23,albendazole,PHX2481,5,7/7/23,9,9,0.25,2.725,4.144021799,150.925,0,-4.096428571,-15.82768063,7.634823486,0.97,ns,PHX2481,N2
ABZ.E.S5.R10,0,0,0,2,7/27/23,albendazole,PHX2481,5,7/7/23,20,10,0.5,2.725,4.144021799,150.925,0,-4.096428571,-15.82768063,7.634823486,0.97,ns,PHX2481,N2
ABZ.D.S5.R2,24,23,22,24,7/15/23,albendazole,PHX2502,5,7/7/23,8,2,23.25,11.52777778,7.585393493,146.75,0,5.19375,-6.097972186,16.48547219,0.865,ns,PHX2502,N2
ABZ.D.S5.R3,17,10,9,14,NA,albendazole,PHX2502,5,7/7/23,06/23/1776,3,12.5,11.52777778,7.585393493,146.75,0,5.19375,-6.097972186,16.48547219,0.865,ns,PHX2502,N2
ABZ.D.S5.R4,25,21,19,25,7/15/23,albendazole,PHX2502,5,7/7/23,8,4,22.5,11.52777778,7.585393493,146.75,0,5.19375,-6.097972186,16.48547219,0.865,ns,PHX2502,N2
ABZ.D.S5.R6,0,0,0,0,NA,albendazole,PHX2502,5,7/7/23,06/23/1776,6,0,11.52777778,7.585393493,146.75,0,5.19375,-6.097972186,16.48547219,0.865,ns,PHX2502,N2
ABZ.D.S5.R7,6,7,6,12,7/16/23,albendazole,PHX2502,5,7/7/23,9,7,7.75,11.52777778,7.585393493,146.75,0,5.19375,-6.097972186,16.48547219,0.865,ns,PHX2502,N2
ABZ.D.S5.R8,9,7,7,12,7/16/23,albendazole,PHX2502,5,7/7/23,9,8,8.75,11.52777778,7.585393493,146.75,0,5.19375,-6.097972186,16.48547219,0.865,ns,PHX2502,N2
ABZ.D.S5.R9,6,3,4,8,7/16/23,albendazole,PHX2502,5,7/7/23,9,9,5.25,11.52777778,7.585393493,146.75,0,5.19375,-6.097972186,16.48547219,0.865,ns,PHX2502,N2
ABZ.D.S5.R10,16,13,10,16,7/16/23,albendazole,PHX2502,5,7/7/23,9,10,13.75,11.52777778,7.585393493,146.75,0,5.19375,-6.097972186,16.48547219,0.865,ns,PHX2502,N2
ABZ.C.S5.R1,2,2,2,3,7/16/23,albendazole,PHX2647,5,7/7/23,9,1,2.25,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R2,1,1,1,1,7/27/23,albendazole,PHX2647,5,7/7/23,20,2,1,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R3,0,0,0,0,7/27/23,albendazole,PHX2647,5,7/7/23,20,3,0,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R4,0,0,0,0,7/27/23,albendazole,PHX2647,5,7/7/23,20,4,0,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R5,1,1,1,1,7/17/23,albendazole,PHX2647,5,7/7/23,10,5,1,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R6,0,0,0,1,7/27/23,albendazole,PHX2647,5,7/7/23,20,6,0.25,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R7,1,1,0,1,7/27/23,albendazole,PHX2647,5,7/7/23,20,7,0.75,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R8,1,1,1,2,7/17/23,albendazole,PHX2647,5,7/7/23,10,8,1.25,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R9,2,2,1,2,7/17/23,albendazole,PHX2647,5,7/7/23,10,9,1.75,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.C.S5.R10,15,15,15,17,7/16/23,albendazole,PHX2647,5,7/7/23,9,10,15.5,2.375,4.668526415,204.125,0,-4.15,-14.79593777,6.495937772,0.943,ns,PHX2647,N2
ABZ.A.S1.R1,15,29,16,27,7/10/23,albendazole,N2,1,7/3/23,7,1,21.75,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R2,20,27,17,33,7/10/23,albendazole,N2,1,7/3/23,7,2,24.25,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R3,26,39,24,36,7/10/23,albendazole,N2,1,7/3/23,7,3,31.25,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R4,30,31,36,39,7/10/23,albendazole,N2,1,7/3/23,7,4,34,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R5,19,23,18,35,7/11/23,albendazole,N2,1,7/3/23,8,5,23.75,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R6,24,28,24,39,7/11/23,albendazole,N2,1,7/3/23,8,6,28.75,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R7,30,30,25,35,7/11/23,albendazole,N2,1,7/3/23,8,7,30,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R8,22,22,21,24,7/11/23,albendazole,N2,1,7/3/23,8,8,22.25,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R9,25,27,26,30,7/10/23,albendazole,N2,1,7/3/23,7,9,27,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.A.S1.R10,44,44,39,48,7/10/23,albendazole,N2,1,7/3/23,7,10,43.75,28.675,6.66567701,232.55,,,,,,,N2,N2
ABZ.B.S1.R1,23,29,24,32,7/11/23,albendazole,ECA882,1,7/3/23,8,1,27,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R2,20,27,23,25,7/10/23,albendazole,ECA882,1,7/3/23,7,2,23.75,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R3,33,36,34,33,7/10/23,albendazole,ECA882,1,7/3/23,7,3,34,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R4,27,32,33,31,7/10/23,albendazole,ECA882,1,7/3/23,7,4,30.75,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R5,31,30,29,30,7/10/23,albendazole,ECA882,1,7/3/23,7,5,30,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R6,30,33,34,33,7/10/23,albendazole,ECA882,1,7/3/23,7,6,32.5,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R7,19,20,21,21,7/11/23,albendazole,ECA882,1,7/3/23,8,7,20.25,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R8,19,20,18,20,7/11/23,albendazole,ECA882,1,7/3/23,8,8,19.25,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R9,27,30,31,34,7/10/23,albendazole,ECA882,1,7/3/23,7,9,30.5,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.B.S1.R10,32,37,35,36,7/10/23,albendazole,ECA882,1,7/3/23,7,10,35,28.3,5.556277731,218.275,0,0.375,-9.243781563,9.993781563,1,ns,ECA882,N2
ABZ.C.S1.R1,18,21,21,21,7/11/23,albendazole,PHX2647,1,7/3/23,8,1,20.25,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R2,24,29,26,28,7/11/23,albendazole,PHX2647,1,7/3/23,8,2,26.75,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R3,18,18,19,18,7/11/23,albendazole,PHX2647,1,7/3/23,8,3,18.25,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R4,19,23,19,19,7/11/23,albendazole,PHX2647,1,7/3/23,8,4,20,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R5,18,19,19,20,7/11/23,albendazole,PHX2647,1,7/3/23,8,5,19,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R6,26,38,31,36,7/11/23,albendazole,PHX2647,1,7/3/23,8,6,32.75,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R7,20,27,23,22,7/11/23,albendazole,PHX2647,1,7/3/23,8,7,23,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R8,12,16,15,19,7/11/23,albendazole,PHX2647,1,7/3/23,8,8,15.5,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R9,17,20,21,24,7/11/23,albendazole,PHX2647,1,7/3/23,8,9,20.5,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.C.S1.R10,15,13,15,15,7/13/23,albendazole,PHX2647,1,7/3/23,10,10,14.5,21.05,5.384906891,204.125,0,-7.625,-17.24378156,1.993781563,0.233,ns,PHX2647,N2
ABZ.D.S1.R2,10,14,11,16,7/12/23,albendazole,PHX2502,1,7/3/23,9,2,12.75,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.D.S1.R3,24,33,27,34,7/11/23,albendazole,PHX2502,1,7/3/23,8,3,29.5,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.D.S1.R4,12,13,14,15,7/12/23,albendazole,PHX2502,1,7/3/23,9,4,13.5,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.D.S1.R5,10,9,11,15,7/12/23,albendazole,PHX2502,1,7/3/23,9,5,11.25,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.D.S1.R6,9,12,10,12,7/12/23,albendazole,PHX2502,1,7/3/23,9,6,10.75,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.D.S1.R7,16,18,15,20,7/12/23,albendazole,PHX2502,1,7/3/23,9,7,17.25,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.D.S1.R8,8,8,6,11,7/12/23,albendazole,PHX2502,1,7/3/23,9,8,8.25,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.D.S1.R9,11,17,9,18,7/11/23,albendazole,PHX2502,1,7/3/23,8,9,13.75,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.D.S1.R10,16,21,14,24,7/11/23,albendazole,PHX2502,1,7/3/23,8,10,18.75,14.025,6.804257246,146.75,0,-13.59166667,-23.47402529,-3.70930804,0.00117,**,PHX2502,N2
ABZ.E.S1.R3,32,36,35,38,7/10/23,albendazole,PHX2481,1,7/3/23,7,3,35.25,19.1,14.58033302,150.925,0,-1.925,-12.52438104,8.674381043,1,ns,PHX2481,N2
ABZ.E.S1.R5,41,42,36,40,7/10/23,albendazole,PHX2481,1,7/3/23,7,5,39.75,19.1,14.58033302,150.925,0,-1.925,-12.52438104,8.674381043,1,ns,PHX2481,N2
ABZ.E.S1.R6,20,19,18,23,7/11/23,albendazole,PHX2481,1,7/3/23,8,6,20,19.1,14.58033302,150.925,0,-1.925,-12.52438104,8.674381043,1,ns,PHX2481,N2
ABZ.E.S1.R7,28,32,27,33,7/11/23,albendazole,PHX2481,1,7/3/23,8,7,30,19.1,14.58033302,150.925,0,-1.925,-12.52438104,8.674381043,1,ns,PHX2481,N2
ABZ.E.S1.R8,17,19,13,22,7/11/23,albendazole,PHX2481,1,7/3/23,8,8,17.75,19.1,14.58033302,150.925,0,-1.925,-12.52438104,8.674381043,1,ns,PHX2481,N2
ABZ.E.S1.R9,15,15,12,15,7/11/23,albendazole,PHX2481,1,7/3/23,8,9,14.25,19.1,14.58033302,150.925,0,-1.925,-12.52438104,8.674381043,1,ns,PHX2481,N2
ABZ.E.S1.R10,29,33,24,35,7/11/23,albendazole,PHX2481,1,7/3/23,8,10,30.25,19.1,14.58033302,150.925,0,-1.925,-12.52438104,8.674381043,1,ns,PHX2481,N2
ABZ.F.S1.R2,11,11,7,12,7/12/23,albendazole,ECA2687,1,7/3/23,9,2,10.25,9.175,8.133478482,130.8,0,17.24642857,6.647047529,27.84580961,6e-05,****,ECA2687,N2
ABZ.F.S1.R4,8,9,6,16,7/12/23,albendazole,ECA2687,1,7/3/23,9,4,9.75,9.175,8.133478482,130.8,0,17.24642857,6.647047529,27.84580961,6e-05,****,ECA2687,N2
ABZ.F.S1.R5,5,5,3,7,7/13/23,albendazole,ECA2687,1,7/3/23,10,5,5,9.175,8.133478482,130.8,0,17.24642857,6.647047529,27.84580961,6e-05,****,ECA2687,N2
ABZ.F.S1.R7,13,14,13,18,7/12/23,albendazole,ECA2687,1,7/3/23,9,7,14.5,9.175,8.133478482,130.8,0,17.24642857,6.647047529,27.84580961,6e-05,****,ECA2687,N2
ABZ.F.S1.R8,26,31,28,35,7/11/23,albendazole,ECA2687,1,7/3/23,8,8,30,9.175,8.133478482,130.8,0,17.24642857,6.647047529,27.84580961,6e-05,****,ECA2687,N2
ABZ.F.S1.R9,5,5,5,7,7/12/23,albendazole,ECA2687,1,7/3/23,9,9,5.5,9.175,8.133478482,130.8,0,17.24642857,6.647047529,27.84580961,6e-05,****,ECA2687,N2
ABZ.F.S1.R10,2,3,2,13,7/12/23,albendazole,ECA2687,1,7/3/23,9,10,5,9.175,8.133478482,130.8,0,17.24642857,6.647047529,27.84580961,6e-05,****,ECA2687,N2
ABZ.G.S1.R1,18,24,21,24,7/11/23,albendazole,ECA2688,1,7/3/23,8,1,21.75,22.175,4.54308082,226.1,0,6.5,-3.118781563,16.11878156,0.442,ns,ECA2688,N2
ABZ.G.S1.R2,19,26,21,22,7/11/23,albendazole,ECA2688,1,7/3/23,8,2,22,22.175,4.54308082,226.1,0,6.5,-3.118781563,16.11878156,0.442,ns,ECA2688,N2
ABZ.G.S1.R3,26,32,30,30,7/11/23,albendazole,ECA2688,1,7/3/23,8,3,29.5,22.175,4.54308082,226.1,0,6.5,-3.118781563,16.11878156,0.442,ns,ECA2688,N2
ABZ.G.S1.R4,14,20,14,15,7/11/23,albendazole,ECA2688,1,7/3/23,8,4,15.75,22.175,4.54308082,226.1,0,6.5,-3.118781563,16.11878156,0.442,ns,ECA2688,N2
ABZ.G.S1.R5,27,31,25,32,7/11/23,albendazole,ECA2688,1,7/3/23,8,5,28.75,22.175,4.54308082,226.1,0,6.5,-3.118781563,16.11878156,0.442,ns,ECA2688,N2
