sample,total_offspring_1,total_offspring_2,total_offspring_3,total_offspring_4,date_starved,condition,strain,set,date_mother_on_plate,days_to_starvation,replicate,avg_total_offspring,mean.x,sd.x,lifetime_mean,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,group1,group2
ABZ.F.S5.R2,10,11,10,14,7/16/23,albendazole,ECA2687,5,7/7/23,9,2,11.25,13.675,7.568254239,130.8,0,-9.760714286,-21.49196634,1.970537772,0.181,ns,ECA2687,N2
ABZ.F.S5.R4,25,23,18,29,7/16/23,albendazole,ECA2687,5,7/7/23,9,4,23.75,13.675,7.568254239,130.8,0,-9.760714286,-21.49196634,1.970537772,0.181,ns,ECA2687,N2
ABZ.F.S5.R5,16,11,11,18,7/16/23,albendazole,ECA2687,5,7/7/23,9,5,14,13.675,7.568254239,130.8,0,-9.760714286,-21.49196634,1.970537772,0.181,ns,ECA2687,N2
ABZ.F.S5.R7,11,11,11,16,7/16/23,albendazole,ECA2687,5,7/7/23,9,7,12.25,13.675,7.568254239,130.8,0,-9.760714286,-21.49196634,1.970537772,0.181,ns,ECA2687,N2
ABZ.F.S5.R8,23,22,17,26,7/16/23,albendazole,ECA2687,5,7/7/23,9,8,22,13.675,7.568254239,130.8,0,-9.760714286,-21.49196634,1.970537772,0.181,ns,ECA2687,N2
ABZ.F.S5.R9,20,21,20,26,NA,albendazole,ECA2687,5,7/7/23,06/23/1776,9,21.75,13.675,7.568254239,130.8,0,-9.760714286,-21.49196634,1.970537772,0.181,ns,ECA2687,N2
ABZ.F.S5.R10,11,8,6,11,7/16/23,albendazole,ECA2687,5,7/7/23,9,10,9,13.675,7.568254239,130.8,0,-9.760714286,-21.49196634,1.970537772,0.181,ns,ECA2687,N2
ABZ.G.S5.R1,1,1,0,1,7/17/23,albendazole,ECA2688,5,7/7/23,10,1,0.75,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R2,2,4,3,8,7/16/23,albendazole,ECA2688,5,7/7/23,9,2,4.25,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R3,3,3,4,4,7/18/23,albendazole,ECA2688,5,7/7/23,11,3,3.5,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R4,16,17,12,18,7/15/23,albendazole,ECA2688,5,7/7/23,8,4,15.75,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R5,1,1,1,5,7/17/23,albendazole,ECA2688,5,7/7/23,10,5,2,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R6,1,1,0,0,7/27/23,albendazole,ECA2688,5,7/7/23,20,6,0.5,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R7,16,16,14,17,7/15/23,albendazole,ECA2688,5,7/7/23,8,7,15.75,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R8,4,6,4,11,7/16/23,albendazole,ECA2688,5,7/7/23,9,8,6.25,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R9,1,1,1,1,7/17/23,albendazole,ECA2688,5,7/7/23,10,9,1,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.G.S5.R10,2,1,1,3,7/17/23,albendazole,ECA2688,5,7/7/23,10,10,1.75,5.15,5.860887305,226.1,0,1.375,-9.270937772,12.02093777,1,ns,ECA2688,N2
ABZ.H.S5.R1,10,10,10,11,7/16/23,albendazole,ECA2689,5,7/7/23,9,1,10.25,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.H.S5.R2,0,0,0,0,NA,albendazole,ECA2689,5,7/7/23,06/23/1776,2,0,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.H.S5.R3,11,11,10,16,7/15/23,albendazole,ECA2689,5,7/7/23,8,3,12,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.H.S5.R4,17,17,14,19,7/15/23,albendazole,ECA2689,5,7/7/23,8,4,16.75,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.H.S5.R5,7,6,7,10,7/16/23,albendazole,ECA2689,5,7/7/23,9,5,7.5,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
ABZ.H.S5.R6,18,18,16,21,7/15/23,albendazole,ECA2689,5,7/7/23,8,6,18.25,14.425,9.327416279,177.25,0,-7.9,-18.54593777,2.745937772,0.314,ns,ECA2689,N2
