lifetime,lifetime_mean,lifetime_sd,condition,strain
245.3,232.55,9.768827975,albendazole,N2
220.4,218.275,1.623524972,albendazole,ECA882
212.1,204.125,7.009220118,albendazole,PHX2647
180.4444444,163.0555556,15.84635592,albendazole,PHX2502
222.8571429,215.6071429,6.946221995,albendazole,PHX2481
212.4285714,186.8571429,20.73512909,albendazole,ECA2687
235.6,226.1,8.846091416,albendazole,ECA2688
194.2,177.25,13.6885597,albendazole,ECA2689
152.625,137.84375,14.08840207,albendazole,ECA2690
297.1111111,287.25,13.03094607,ivermectin,N2
349.1,326.775,19.03564639,ivermectin,ECA882
273.8,256.575,14.56991764,ivermectin,PHX2647
169.7142857,154.0714286,13.75712555,ivermectin,PHX2502
292.2222222,277.9722222,10.78803445,ivermectin,PHX2481
190.7,177.2,11.54758272,ivermectin,ECA2687
282.6,268.225,10.69528712,ivermectin,ECA2688
97.77777778,93,5.505702244,ivermectin,ECA2689
202.2222222,187.3888889,11.53720052,ivermectin,ECA2690
249.3,242.675,4.709830146,DMSO,N2
307.8888889,296.6388889,8.2827477,DMSO,ECA882
294.5,281.575,13.77373709,DMSO,PHX2647
236.8888889,218.5555556,15.52457232,DMSO,PHX2502
284,276.4444444,6.833107494,DMSO,PHX2481
187.625,174.1875,12.08196831,DMSO,ECA2687
316,303,10.37854931,DMSO,ECA2688
254.2222222,226.1388889,21.70345879,DMSO,ECA2689
229.6666667,203.0833333,19.4431481,DMSO,ECA2690
221.5,232.55,9.768827975,albendazole,N2
218.4,218.275,1.623524972,albendazole,ECA882
197.2,204.125,7.009220118,albendazole,PHX2647
142,163.0555556,15.84635592,albendazole,PHX2502
207.8571429,215.6071429,6.946221995,albendazole,PHX2481
161.7142857,186.8571429,20.73512909,albendazole,ECA2687
216,226.1,8.846091416,albendazole,ECA2688
160.7,177.25,13.6885597,albendazole,ECA2689
121,137.84375,14.08840207,albendazole,ECA2690
269.1111111,287.25,13.03094607,ivermectin,N2
302.8,326.775,19.03564639,ivermectin,ECA882
239,256.575,14.56991764,ivermectin,PHX2647
140.4285714,154.0714286,13.75712555,ivermectin,PHX2502
269.8888889,277.9722222,10.78803445,ivermectin,PHX2481
163.3,177.2,11.54758272,ivermectin,ECA2687
259.4,268.225,10.69528712,ivermectin,ECA2688
91.44444444,93,5.505702244,ivermectin,ECA2689
175.2222222,187.3888889,11.53720052,ivermectin,ECA2690
240.6,242.675,4.709830146,DMSO,N2
288,296.6388889,8.2827477,DMSO,ECA882
262.7,281.575,13.77373709,DMSO,PHX2647
201.4444444,218.5555556,15.52457232,DMSO,PHX2502
271,276.4444444,6.833107494,DMSO,PHX2481
158.875,174.1875,12.08196831,DMSO,ECA2687
292.8571429,303,10.37854931,DMSO,ECA2688
204.4444444,226.1388889,21.70345879,DMSO,ECA2689
186.4444444,203.0833333,19.4431481,DMSO,ECA2690
232,232.55,9.768827975,albendazole,N2
217.8,218.275,1.623524972,albendazole,ECA882
207.8,204.125,7.009220118,albendazole,PHX2647
164.2222222,163.0555556,15.84635592,albendazole,PHX2502
219.8571429,215.6071429,6.946221995,albendazole,PHX2481
185.2857143,186.8571429,20.73512909,albendazole,ECA2687
231,226.1,8.846091416,albendazole,ECA2688
177.7,177.25,13.6885597,albendazole,ECA2689
145.625,137.84375,14.08840207,albendazole,ECA2690
296.3333333,287.25,13.03094607,ivermectin,N2
325.1,326.775,19.03564639,ivermectin,ECA882
252.8,256.575,14.56991764,ivermectin,PHX2647
144.8571429,154.0714286,13.75712555,ivermectin,PHX2502
269.3333333,277.9722222,10.78803445,ivermectin,PHX2481
173.9,177.2,11.54758272,ivermectin,ECA2687
260.8,268.225,10.69528712,ivermectin,ECA2688
85.88888889,93,5.505702244,ivermectin,ECA2689
