lifetime,lifetime_mean,lifetime_sd,condition,strain
182.3333333,187.3888889,11.53720052,ivermectin,ECA2690
238.4,242.675,4.709830146,DMSO,N2
294.5555556,296.6388889,8.2827477,DMSO,ECA882
280.8,281.575,13.77373709,DMSO,PHX2647
211.1111111,218.5555556,15.52457232,DMSO,PHX2502
270.3333333,276.4444444,6.833107494,DMSO,PHX2481
171.875,174.1875,12.08196831,DMSO,ECA2687
296.7142857,303,10.37854931,DMSO,ECA2688
214.7777778,226.1388889,21.70345879,DMSO,ECA2689
191,203.0833333,19.4431481,DMSO,ECA2690
231.4,232.55,9.768827975,albendazole,N2
216.5,218.275,1.623524972,albendazole,ECA882
199.4,204.125,7.009220118,albendazole,PHX2647
165.5555556,163.0555556,15.84635592,albendazole,PHX2502
211.8571429,215.6071429,6.946221995,albendazole,PHX2481
188,186.8571429,20.73512909,albendazole,ECA2687
221.8,226.1,8.846091416,albendazole,ECA2688
176.4,177.25,13.6885597,albendazole,ECA2689
132.125,137.84375,14.08840207,albendazole,ECA2690
286.4444444,287.25,13.03094607,ivermectin,N2
330.1,326.775,19.03564639,ivermectin,ECA882
260.7,256.575,14.56991764,ivermectin,PHX2647
161.2857143,154.0714286,13.75712555,ivermectin,PHX2502
280.4444444,277.9722222,10.78803445,ivermectin,PHX2481
180.9,177.2,11.54758272,ivermectin,ECA2687
270.1,268.225,10.69528712,ivermectin,ECA2688
96.88888889,93,5.505702244,ivermectin,ECA2689
189.7777778,187.3888889,11.53720052,ivermectin,ECA2690
242.4,242.675,4.709830146,DMSO,N2
296.1111111,296.6388889,8.2827477,DMSO,ECA882
288.3,281.575,13.77373709,DMSO,PHX2647
224.7777778,218.5555556,15.52457232,DMSO,PHX2502
280.4444444,276.4444444,6.833107494,DMSO,PHX2481
178.375,174.1875,12.08196831,DMSO,ECA2687
306.4285714,303,10.37854931,DMSO,ECA2688
231.1111111,226.1388889,21.70345879,DMSO,ECA2689
205.2222222,203.0833333,19.4431481,DMSO,ECA2690
