sample,total_offspring_1,total_offspring_2,total_offspring_3,total_offspring_4,date_starved,condition,strain,set,date_mother_on_plate,days_to_starvation,replicate,avg_total_offspring,mean.x,sd.x,lifetime_mean,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,group1,group2
DMS.A.S1.R1,32,31,34,32,7/11/23,DMSO,N2,1,7/3/23,8,1,32.25,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R2,23,24,23,24,7/11/23,DMSO,N2,1,7/3/23,8,2,23.5,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R3,31,34,32,31,7/10/23,DMSO,N2,1,7/3/23,7,3,32,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R4,26,27,25,27,7/10/23,DMSO,N2,1,7/3/23,7,4,26.25,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R5,21,23,22,22,7/10/23,DMSO,N2,1,7/3/23,7,5,22,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R6,27,25,26,26,7/10/23,DMSO,N2,1,7/3/23,7,6,26,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R7,33,36,35,37,7/10/23,DMSO,N2,1,7/3/23,7,7,35.25,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R8,24,24,23,23,7/10/23,DMSO,N2,1,7/3/23,7,8,23.5,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R9,13,14,14,15,7/11/23,DMSO,N2,1,7/3/23,8,9,14,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.A.S1.R10,22,23,24,25,7/10/23,DMSO,N2,1,7/3/23,7,10,23.5,25.825,6.138505518,242.675,,,,,,,N2,N2
DMS.B.S1.R1,30,30,31,30,7/10/23,DMSO,ECA882,1,7/3/23,7,1,30.25,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
DMS.B.S1.R3,32,32,31,32,7/10/23,DMSO,ECA882,1,7/3/23,7,3,31.75,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
DMS.B.S1.R4,29,32,28,32,7/10/23,DMSO,ECA882,1,7/3/23,7,4,30.25,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
DMS.B.S1.R5,31,30,31,36,7/10/23,DMSO,ECA882,1,7/3/23,7,5,32,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
DMS.B.S1.R6,31,30,29,34,7/10/23,DMSO,ECA882,1,7/3/23,7,6,31,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
DMS.B.S1.R7,20,20,21,21,7/10/23,DMSO,ECA882,1,7/3/23,7,7,20.5,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
DMS.B.S1.R8,17,18,18,18,7/11/23,DMSO,ECA882,1,7/3/23,8,8,17.75,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
DMS.B.S1.R9,29,30,28,27,7/10/23,DMSO,ECA882,1,7/3/23,7,9,28.5,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
DMS.B.S1.R10,28,29,28,29,7/10/23,DMSO,ECA882,1,7/3/23,7,10,28.5,25.375,9.157002481,266.975,0,-2.008333333,-11.92358535,7.906918679,0.999,ns,ECA882,N2
