sample,total_offspring_1,total_offspring_2,total_offspring_3,total_offspring_4,date_starved,condition,strain,set,date_mother_on_plate,days_to_starvation,replicate,avg_total_offspring,mean.x,sd.x,lifetime_mean,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif,group1,group2
DMS.C.S1.R1,25,25,25,25,7/10/23,DMSO,PHX2647,1,7/3/23,7,1,25,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R2,22,23,23,25,7/10/23,DMSO,PHX2647,1,7/3/23,7,2,23.25,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R3,23,23,24,23,7/10/23,DMSO,PHX2647,1,7/3/23,7,3,23.25,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R4,34,34,34,33,7/10/23,DMSO,PHX2647,1,7/3/23,7,4,33.75,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R5,18,18,18,19,7/10/23,DMSO,PHX2647,1,7/3/23,7,5,18.25,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R6,15,13,12,12,7/11/23,DMSO,PHX2647,1,7/3/23,8,6,13,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R7,18,16,16,17,7/11/23,DMSO,PHX2647,1,7/3/23,8,7,16.75,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R8,18,16,16,18,7/11/23,DMSO,PHX2647,1,7/3/23,8,8,17,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R9,17,19,17,17,7/10/23,DMSO,PHX2647,1,7/3/23,7,9,17.5,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.C.S1.R10,33,36,32,35,7/10/23,DMSO,PHX2647,1,7/3/23,7,10,34,22.175,7.162838125,281.575,0,-3.65,-13.30079763,6.000797634,0.952,ns,PHX2647,N2
DMS.D.S1.R1,6,6,6,6,7/12/23,DMSO,PHX2502,1,7/3/23,9,1,6,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.D.S1.R2,18,19,18,20,7/11/23,DMSO,PHX2502,1,7/3/23,8,2,18.75,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.D.S1.R4,16,17,15,15,7/11/23,DMSO,PHX2502,1,7/3/23,8,4,15.75,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.D.S1.R5,21,19,19,19,7/11/23,DMSO,PHX2502,1,7/3/23,8,5,19.5,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.D.S1.R6,15,14,14,15,7/11/23,DMSO,PHX2502,1,7/3/23,8,6,14.5,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.D.S1.R7,19,20,19,19,7/11/23,DMSO,PHX2502,1,7/3/23,8,7,19.25,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.D.S1.R8,22,23,22,22,7/11/23,DMSO,PHX2502,1,7/3/23,8,8,22.25,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.D.S1.R9,17,16,17,15,7/11/23,DMSO,PHX2502,1,7/3/23,8,9,16.25,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.D.S1.R10,12,14,12,12,7/11/23,DMSO,PHX2502,1,7/3/23,8,10,12.5,14.55,6.629898608,196.7,0,-9.741666667,-19.65691868,0.173585345,0.0579,ns,PHX2502,N2
DMS.E.S1.R1,35,35,34,34,7/10/23,DMSO,PHX2481,1,7/3/23,7,1,34.5,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.E.S1.R2,22,22,23,23,7/10/23,DMSO,PHX2481,1,7/3/23,7,2,22.5,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.E.S1.R3,26,25,23,24,7/10/23,DMSO,PHX2481,1,7/3/23,7,3,24.5,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.E.S1.R4,27,28,30,30,7/10/23,DMSO,PHX2481,1,7/3/23,7,4,28.75,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.E.S1.R5,32,31,30,30,7/10/23,DMSO,PHX2481,1,7/3/23,7,5,30.75,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.E.S1.R6,35,35,35,35,7/10/23,DMSO,PHX2481,1,7/3/23,7,6,35,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.E.S1.R7,9,9,7,9,7/11/23,DMSO,PHX2481,1,7/3/23,8,7,8.5,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.E.S1.R8,28,30,30,29,7/10/23,DMSO,PHX2481,1,7/3/23,7,8,29.25,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.E.S1.R10,26,26,26,26,7/10/23,DMSO,PHX2481,1,7/3/23,7,10,26,23.975,11.30231663,248.8,0,0.813888889,-9.101363123,10.7291409,1,ns,PHX2481,N2
DMS.F.S1.R1,10,9,8,8,7/11/23,DMSO,ECA2687,1,7/3/23,8,1,8.75,14.6,9.981371538,139.35,0,7.575,-2.661216676,17.81121668,0.318,ns,ECA2687,N2
DMS.F.S1.R2,12,12,10,13,7/11/23,DMSO,ECA2687,1,7/3/23,8,2,11.75,14.6,9.981371538,139.35,0,7.575,-2.661216676,17.81121668,0.318,ns,ECA2687,N2
DMS.F.S1.R4,18,17,14,16,7/11/23,DMSO,ECA2687,1,7/3/23,8,4,16.25,14.6,9.981371538,139.35,0,7.575,-2.661216676,17.81121668,0.318,ns,ECA2687,N2
DMS.F.S1.R5,24,26,23,24,7/11/23,DMSO,ECA2687,1,7/3/23,8,5,24.25,14.6,9.981371538,139.35,0,7.575,-2.661216676,17.81121668,0.318,ns,ECA2687,N2
DMS.F.S1.R6,17,17,15,15,7/11/23,DMSO,ECA2687,1,7/3/23,8,6,16,14.6,9.981371538,139.35,0,7.575,-2.661216676,17.81121668,0.318,ns,ECA2687,N2
DMS.F.S1.R8,26,24,25,25,7/11/23,DMSO,ECA2687,1,7/3/23,8,8,25,14.6,9.981371538,139.35,0,7.575,-2.661216676,17.81121668,0.318,ns,ECA2687,N2
DMS.F.S1.R9,15,15,14,14,7/11/23,DMSO,ECA2687,1,7/3/23,8,9,14.5,14.6,9.981371538,139.35,0,7.575,-2.661216676,17.81121668,0.318,ns,ECA2687,N2
DMS.F.S1.R10,30,30,27,31,7/11/23,DMSO,ECA2687,1,7/3/23,8,10,29.5,14.6,9.981371538,139.35,0,7.575,-2.661216676,17.81121668,0.318,ns,ECA2687,N2
DMS.G.S1.R1,35,34,34,35,7/10/23,DMSO,ECA2688,1,7/3/23,7,1,34.5,17.4,14.67102208,212.1,0,1.682142857,-8.952518177,12.31680389,1,ns,ECA2688,N2
DMS.G.S1.R3,15,14,16,14,7/10/23,DMSO,ECA2688,1,7/3/23,7,3,14.75,17.4,14.67102208,212.1,0,1.682142857,-8.952518177,12.31680389,1,ns,ECA2688,N2
DMS.G.S1.R4,7,7,7,7,7/11/23,DMSO,ECA2688,1,7/3/23,8,4,7,17.4,14.67102208,212.1,0,1.682142857,-8.952518177,12.31680389,1,ns,ECA2688,N2
DMS.G.S1.R5,34,34,34,35,7/10/23,DMSO,ECA2688,1,7/3/23,7,5,34.25,17.4,14.67102208,212.1,0,1.682142857,-8.952518177,12.31680389,1,ns,ECA2688,N2
DMS.G.S1.R7,17,17,18,19,7/11/23,DMSO,ECA2688,1,7/3/23,8,7,17.75,17.4,14.67102208,212.1,0,1.682142857,-8.952518177,12.31680389,1,ns,ECA2688,N2
DMS.G.S1.R8,38,41,38,40,7/10/23,DMSO,ECA2688,1,7/3/23,7,8,39.25,17.4,14.67102208,212.1,0,1.682142857,-8.952518177,12.31680389,1,ns,ECA2688,N2
DMS.G.S1.R9,21,21,21,23,7/10/23,DMSO,ECA2688,1,7/3/23,7,9,21.5,17.4,14.67102208,212.1,0,1.682142857,-8.952518177,12.31680389,1,ns,ECA2688,N2
DMS.H.S1.R1,12,13,13,12,7/11/23,DMSO,ECA2689,1,7/3/23,8,1,12.5,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.H.S1.R2,16,11,17,18,7/11/23,DMSO,ECA2689,1,7/3/23,8,2,15.5,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.H.S1.R4,14,13,13,14,7/11/23,DMSO,ECA2689,1,7/3/23,8,4,13.5,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.H.S1.R5,15,17,17,17,7/11/23,DMSO,ECA2689,1,7/3/23,8,5,16.5,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.H.S1.R6,14,13,13,12,7/11/23,DMSO,ECA2689,1,7/3/23,8,6,13,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.H.S1.R7,23,24,23,25,7/11/23,DMSO,ECA2689,1,7/3/23,8,7,23.75,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.H.S1.R8,17,15,16,18,7/11/23,DMSO,ECA2689,1,7/3/23,8,8,16.5,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.H.S1.R9,18,19,17,19,7/11/23,DMSO,ECA2689,1,7/3/23,8,9,18.25,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.H.S1.R10,24,25,25,27,7/11/23,DMSO,ECA2689,1,7/3/23,8,10,25.25,15.475,6.929656477,203.525,0,8.630555556,-1.284696457,18.54580757,0.138,ns,ECA2689,N2
DMS.I.S1.R2,16,16,16,19,7/11/23,DMSO,ECA2690,1,7/3/23,8,2,16.75,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.I.S1.R3,18,19,17,19,7/11/23,DMSO,ECA2690,1,7/3/23,8,3,18.25,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.I.S1.R4,20,21,20,21,7/11/23,DMSO,ECA2690,1,7/3/23,8,4,20.5,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.I.S1.R5,11,12,11,13,7/12/23,DMSO,ECA2690,1,7/3/23,9,5,11.75,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.I.S1.R6,21,19,20,20,7/11/23,DMSO,ECA2690,1,7/3/23,8,6,20,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.I.S1.R7,10,10,11,11,7/12/23,DMSO,ECA2690,1,7/3/23,9,7,10.5,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.I.S1.R8,19,21,21,22,7/11/23,DMSO,ECA2690,1,7/3/23,8,8,20.75,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.I.S1.R9,13,12,12,12,7/11/23,DMSO,ECA2690,1,7/3/23,8,9,12.25,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.I.S1.R10,16,16,16,16,7/11/23,DMSO,ECA2690,1,7/3/23,8,10,16,14.675,6.370559456,182.775,0,9.519444444,-0.395807568,19.43469646,0.0697,ns,ECA2690,N2
DMS.A.S2.R1,121,112,119,122,7/10/23,DMSO,N2,2,7/4/23,6,1,118.5,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R2,81,73,79,82,7/10/23,DMSO,N2,2,7/4/23,6,2,78.75,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R3,115,111,119,125,7/10/23,DMSO,N2,2,7/4/23,6,3,117.5,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R4,111,98,103,98,7/10/23,DMSO,N2,2,7/4/23,6,4,102.5,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R5,125,120,123,126,7/10/23,DMSO,N2,2,7/4/23,6,5,123.5,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R6,128,114,125,128,7/10/23,DMSO,N2,2,7/4/23,6,6,123.75,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R7,107,109,107,107,7/10/23,DMSO,N2,2,7/4/23,6,7,107.5,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R8,104,107,104,109,7/10/23,DMSO,N2,2,7/4/23,6,8,106,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R9,73,72,68,73,7/10/23,DMSO,N2,2,7/4/23,6,9,71.5,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.A.S2.R10,122,117,109,121,7/10/23,DMSO,N2,2,7/4/23,6,10,117.25,106.675,18.19380618,242.675,,,,,,,N2,N2
DMS.B.S2.R1,110,111,115,118,7/10/23,DMSO,ECA882,2,7/4/23,6,1,113.5,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.B.S2.R3,126,125,123,129,7/10/23,DMSO,ECA882,2,7/4/23,6,3,125.75,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.B.S2.R4,112,111,110,115,7/10/23,DMSO,ECA882,2,7/4/23,6,4,112,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.B.S2.R5,137,139,156,133,7/10/23,DMSO,ECA882,2,7/4/23,6,5,141.25,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.B.S2.R6,115,118,115,119,7/10/23,DMSO,ECA882,2,7/4/23,6,6,116.75,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.B.S2.R7,108,102,97,106,7/10/23,DMSO,ECA882,2,7/4/23,6,7,103.25,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.B.S2.R8,83,78,78,84,7/10/23,DMSO,ECA882,2,7/4/23,6,8,80.75,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.B.S2.R9,105,110,102,107,7/10/23,DMSO,ECA882,2,7/4/23,6,9,106,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.B.S2.R10,105,102,98,101,7/10/23,DMSO,ECA882,2,7/4/23,6,10,101.5,102.125,32.77178029,266.975,0,-4.519444444,-24.73129477,15.69240588,0.998,ns,ECA882,N2
DMS.C.S2.R1,100,93,98,98,7/10/23,DMSO,PHX2647,2,7/4/23,6,1,97.25,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R2,111,106,104,111,7/10/23,DMSO,PHX2647,2,7/4/23,6,2,108,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R3,105,96,97,102,7/10/23,DMSO,PHX2647,2,7/4/23,6,3,100,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R4,110,102,97,104,7/10/23,DMSO,PHX2647,2,7/4/23,6,4,103.25,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R5,79,75,74,72,7/10/23,DMSO,PHX2647,2,7/4/23,6,5,75,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R6,75,70,64,72,7/10/23,DMSO,PHX2647,2,7/4/23,6,6,70.25,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R7,91,85,79,81,7/10/23,DMSO,PHX2647,2,7/4/23,6,7,84,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R8,91,89,83,86,7/10/23,DMSO,PHX2647,2,7/4/23,6,8,87.25,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R9,77,72,68,73,7/10/23,DMSO,PHX2647,2,7/4/23,6,9,72.5,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.C.S2.R10,106,102,84,94,7/10/23,DMSO,PHX2647,2,7/4/23,6,10,96.5,89.4,13.56322643,281.575,0,-17.275,-36.9477705,2.397770503,0.131,ns,PHX2647,N2
DMS.D.S2.R1,44,43,35,42,7/11/23,DMSO,PHX2502,2,7/4/23,7,1,41,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.D.S2.R2,73,71,65,72,7/11/23,DMSO,PHX2502,2,7/4/23,7,2,70.25,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.D.S2.R4,72,54,56,66,7/11/23,DMSO,PHX2502,2,7/4/23,7,4,62,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.D.S2.R5,55,52,50,55,7/11/23,DMSO,PHX2502,2,7/4/23,7,5,53,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.D.S2.R6,39,33,35,39,7/11/23,DMSO,PHX2502,2,7/4/23,7,6,36.5,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.D.S2.R7,51,47,51,52,7/11/23,DMSO,PHX2502,2,7/4/23,7,7,50.25,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.D.S2.R8,63,54,58,61,7/11/23,DMSO,PHX2502,2,7/4/23,7,8,59,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.D.S2.R9,61,59,54,59,7/11/23,DMSO,PHX2502,2,7/4/23,7,9,58.25,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.D.S2.R10,39,39,37,39,7/11/23,DMSO,PHX2502,2,7/4/23,7,10,38.5,51.2,11.24895057,196.7,0,-54.59166667,-74.80351699,-34.37981634,0,****,PHX2502,N2
DMS.E.S2.R1,125,120,119,117,7/10/23,DMSO,PHX2481,2,7/4/23,6,1,120.25,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.E.S2.R2,97,95,97,98,7/10/23,DMSO,PHX2481,2,7/4/23,6,2,96.75,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.E.S2.R3,100,100,98,102,NA,DMSO,PHX2481,2,7/4/23,06/26/1776,3,100,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.E.S2.R4,120,116,118,110,7/10/23,DMSO,PHX2481,2,7/4/23,6,4,116,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.E.S2.R5,109,106,104,107,7/10/23,DMSO,PHX2481,2,7/4/23,6,5,106.5,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.E.S2.R6,114,111,109,111,7/10/23,DMSO,PHX2481,2,7/4/23,6,6,111.25,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.E.S2.R7,91,90,90,88,7/10/23,DMSO,PHX2481,2,7/4/23,6,7,89.75,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.E.S2.R8,89,89,87,82,7/10/23,DMSO,PHX2481,2,7/4/23,6,8,86.75,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.E.S2.R10,101,96,97,93,7/10/23,DMSO,PHX2481,2,7/4/23,6,10,96.75,92.825,32.98127625,248.8,0,-4.008333333,-24.22018366,16.20351699,0.999,ns,PHX2481,N2
DMS.F.S2.R1,69,57,57,63,7/10/23,DMSO,ECA2687,2,7/4/23,6,1,61.5,35.7,16.42060021,139.35,0,65.14375,44.27762586,86.00987414,0,****,ECA2687,N2
DMS.F.S2.R2,42,30,33,34,7/11/23,DMSO,ECA2687,2,7/4/23,7,2,34.75,35.7,16.42060021,139.35,0,65.14375,44.27762586,86.00987414,0,****,ECA2687,N2
DMS.F.S2.R4,51,46,46,44,7/10/23,DMSO,ECA2687,2,7/4/23,6,4,46.75,35.7,16.42060021,139.35,0,65.14375,44.27762586,86.00987414,0,****,ECA2687,N2
DMS.F.S2.R5,35,32,33,31,7/11/23,DMSO,ECA2687,2,7/4/23,7,5,32.75,35.7,16.42060021,139.35,0,65.14375,44.27762586,86.00987414,0,****,ECA2687,N2
DMS.F.S2.R6,51,47,47,46,7/11/23,DMSO,ECA2687,2,7/4/23,7,6,47.75,35.7,16.42060021,139.35,0,65.14375,44.27762586,86.00987414,0,****,ECA2687,N2
DMS.F.S2.R8,35,35,39,33,7/11/23,DMSO,ECA2687,2,7/4/23,7,8,35.5,35.7,16.42060021,139.35,0,65.14375,44.27762586,86.00987414,0,****,ECA2687,N2
DMS.F.S2.R9,31,30,30,24,7/11/23,DMSO,ECA2687,2,7/4/23,7,9,28.75,35.7,16.42060021,139.35,0,65.14375,44.27762586,86.00987414,0,****,ECA2687,N2
DMS.F.S2.R10,44,49,43,42,7/11/23,DMSO,ECA2687,2,7/4/23,7,10,44.5,35.7,16.42060021,139.35,0,65.14375,44.27762586,86.00987414,0,****,ECA2687,N2
DMS.G.S2.R1,90,88,87,89,7/10/23,DMSO,ECA2688,2,7/4/23,6,1,88.5,67.1,29.03761928,212.1,0,28.81785714,7.139519886,50.4961944,0.00197,**,ECA2688,N2
DMS.G.S2.R3,84,85,88,85,7/10/23,DMSO,ECA2688,2,7/4/23,6,3,85.5,67.1,29.03761928,212.1,0,28.81785714,7.139519886,50.4961944,0.00197,**,ECA2688,N2
DMS.G.S2.R4,57,61,59,59,7/10/23,DMSO,ECA2688,2,7/4/23,6,4,59,67.1,29.03761928,212.1,0,28.81785714,7.139519886,50.4961944,0.00197,**,ECA2688,N2
DMS.G.S2.R5,83,83,75,75,7/10/23,DMSO,ECA2688,2,7/4/23,6,5,79,67.1,29.03761928,212.1,0,28.81785714,7.139519886,50.4961944,0.00197,**,ECA2688,N2
